#ENSO Index: 1993-Present
#Data source: Satellite sea level observations.
#Credit: NASA MEaSUREs/PO.DAAC
#https://sealevel.jpl.nasa.gov/overlay-elnino/
id	year	ENSO
105056	1992.7595628	0.341844
105059	1992.7786885	0.244913
105062	1992.7978142	0.28205
105065	1992.8169399	0.383577
105068	1992.8360656	0.632008
105071	1992.8551913	0.570035
105074	1992.8743169	0.673833
105077	1992.8934426	0.931142
105080	1992.9125683	0.995095
105083	1992.931694	0.852501
105086	1992.9508197	0.821132
105089	1992.9699454	0.813187
105092	1992.989071	1.036085
105095	1993.0082192	1.170403
105098	1993.0273973	1.165575
105101	1993.0465753	1.15705
105104	1993.0657534	1.043112
105107	1993.0849315	1.135667
105110	1993.1041096	1.169045
105113	1993.1232877	1.224891
105116	1993.1424658	1.175993
105119	1993.1616438	1.284712
105122	1993.1808219	1.355392
105125	1993.2	1.274093
105128	1993.2191781	1.31527
105131	1993.2383562	1.325286
105134	1993.2575342	1.381949
105137	1993.2767123	1.33117
105140	1993.2958904	1.348496
105143	1993.3150685	1.347664
105146	1993.3342466	1.229346
105149	1993.3534247	1.241485
105152	1993.3726027	1.277291
105155	1993.3917808	1.298375
105158	1993.4109589	1.149492
105161	1993.430137	0.815755
105164	1993.4493151	0.833557
105167	1993.4684932	0.969847
105170	1993.4876712	0.97041
105173	1993.5068493	0.786212
105176	1993.5260274	0.872535
105179	1993.5452055	0.853277
105182	1993.5643836	0.842382
105185	1993.5835616	0.768266
105188	1993.6027397	0.825835
105191	1993.6219178	0.895283
105194	1993.6410959	0.948082
105197	1993.660274	0.936366
105200	1993.6794521	0.903824
105203	1993.6986301	0.81807
105206	1993.7178082	0.767796
105209	1993.7369863	0.767941
105212	1993.7561644	0.715969
105215	1993.7753425	0.762119
105218	1993.7945205	0.794782
105221	1993.8136986	0.890414
105224	1993.8328767	0.816546
105227	1993.8520548	0.832365
105230	1993.8712329	0.833681
105233	1993.890411	0.829205
105236	1993.909589	0.787376
105239	1993.9287671	0.771824
105242	1993.9479452	0.79167
105245	1993.9671233	0.806299
105248	1993.9863014	0.708136
105251	1994.0054795	0.769831
105254	1994.0246575	0.787589
105257	1994.0438356	0.631029
105260	1994.0630137	0.508037
105263	1994.0821918	0.388747
105266	1994.1013699	0.297372
105269	1994.1205479	0.14363
105272	1994.139726	0.082772
105275	1994.1589041	-0.059839
105278	1994.1780822	0.148629
105281	1994.1972603	0.094893
105284	1994.2164384	0.038535
105287	1994.2356164	0.073193
105290	1994.2547945	0.187781
105293	1994.2739726	0.214157
105296	1994.2931507	0.248799
105299	1994.3123288	0.353881
105302	1994.3315068	0.212873
105305	1994.3506849	0.288035
105308	1994.369863	0.455866
105311	1994.3890411	0.466113
105314	1994.4082192	0.538985
105317	1994.4273973	0.395028
105320	1994.4465753	0.37043
105323	1994.4657534	0.474627
105326	1994.4849315	0.507951
105329	1994.5041096	0.31875
105332	1994.5232877	0.440984
105335	1994.5424658	0.624649
105338	1994.5616438	0.722546
105341	1994.5808219	0.659545
105344	1994.6	0.669973
105347	1994.6191781	0.808014
105350	1994.6383562	0.928801
105353	1994.6575342	0.962207
105356	1994.6767123	0.934107
105359	1994.6958904	0.955376
105362	1994.7150685	1.130527
105365	1994.7342466	1.106956
105368	1994.7534247	1.070896
105371	1994.7726027	1.10869
105374	1994.7917808	1.153824
105377	1994.8109589	1.171898
105380	1994.830137	1.126683
105383	1994.8493151	1.090486
105386	1994.8684932	1.294946
105389	1994.8876712	1.433565
105392	1994.9068493	1.408604
105395	1994.9260274	1.330032
105398	1994.9452055	1.297165
105401	1994.9643836	1.462692
105404	1994.9835616	1.643292
105407	1995.0027397	1.730237
105410	1995.0219178	1.657206
105413	1995.0410959	1.58833
105416	1995.060274	1.509175
105419	1995.0794521	1.383739
105422	1995.0986301	1.358658
105425	1995.1178082	1.286334
105428	1995.1369863	1.160591
105431	1995.1561644	0.903794
105434	1995.1753425	0.891461
105437	1995.1945205	0.870745
105440	1995.2136986	0.8075
105443	1995.2328767	0.657033
105446	1995.2520548	0.585084
105449	1995.2712329	0.566588
105452	1995.290411	0.51825
105455	1995.309589	0.522642
105458	1995.3287671	0.51296
105461	1995.3479452	0.478033
105464	1995.3671233	0.442929
105467	1995.3863014	0.556555
105470	1995.4054795	0.608339
105473	1995.4246575	0.348476
105476	1995.4438356	0.476346
105479	1995.4630137	0.391652
105482	1995.4821918	0.3611
105485	1995.5013699	0.139163
105488	1995.5205479	0.059915
105491	1995.539726	0.065425
105494	1995.5589041	0.133016
105497	1995.5780822	0.070819
105500	1995.5972603	-0.130466
105503	1995.6164384	-0.140176
105506	1995.6356164	-0.205991
105509	1995.6547945	-0.34875
105512	1995.6739726	-0.353684
105515	1995.6931507	-0.317503
105518	1995.7123288	-0.36968
105521	1995.7315068	-0.362641
105524	1995.7506849	-0.345881
105527	1995.769863	-0.330279
105530	1995.7890411	-0.40475
105533	1995.8082192	-0.457746
105536	1995.8273973	-0.444565
105539	1995.8465753	-0.423034
105542	1995.8657534	-0.521668
105545	1995.8849315	-0.5488
105548	1995.9041096	-0.518657
105551	1995.9232877	-0.627669
105554	1995.9424658	-0.602924
105557	1995.9616438	-0.42853
105560	1995.9808219	-0.36368
105563	1996.0	-0.213024
105566	1996.0191257	-0.239382
105569	1996.0382514	0.054532
105572	1996.057377	-0.293197
105575	1996.0765027	-0.327292
105578	1996.0956284	-0.250354
105581	1996.1147541	-0.265211
105584	1996.1338798	-0.316209
105587	1996.1530055	-0.364653
105590	1996.1721311	-0.177747
105593	1996.1912568	-0.250652
105596	1996.2103825	-0.315117
105599	1996.2295082	-0.372078
105602	1996.2486339	-0.26623
105605	1996.2677596	-0.275517
105608	1996.2868852	-0.296373
105611	1996.3060109	-0.252295
105614	1996.3251366	-0.27367
105617	1996.3442623	-0.348112
105620	1996.363388	-0.263697
105623	1996.3825137	-0.190189
105626	1996.4016393	0.008904
105629	1996.420765	-0.107693
105632	1996.4398907	-0.142008
105635	1996.4590164	-0.186714
105638	1996.4781421	-0.089919
105641	1996.4972678	-0.257482
105644	1996.5163934	-0.359935
105647	1996.5355191	-0.327448
105650	1996.5546448	-0.206867
105653	1996.5737705	-0.267632
105656	1996.5928962	-0.314909
105659	1996.6120219	-0.267117
105662	1996.6311475	-0.307074
105665	1996.6502732	-0.361049
105668	1996.6693989	-0.453961
105671	1996.6885246	-0.499703
105674	1996.7076503	-0.526644
105677	1996.726776	-0.504227
105680	1996.7459016	-0.400556
105683	1996.7650273	-0.384497
105686	1996.784153	-0.456711
105689	1996.8032787	-0.515946
105692	1996.8224044	-0.587885
105695	1996.8415301	-0.560322
105698	1996.8606557	-0.490825
105701	1996.8797814	-0.576999
105704	1996.8989071	-0.584144
105707	1996.9180328	-0.26095
105710	1996.9371585	-0.542332
105713	1996.9562842	-0.496463
105716	1996.9754098	-0.310799
105719	1996.9945355	-0.182237
105722	1997.0136986	0.004725
105725	1997.0328767	0.18829
105728	1997.0520548	0.304263
105731	1997.0712329	0.341348
105734	1997.090411	0.35462
105737	1997.109589	0.237893
105740	1997.1287671	0.06945
105743	1997.1479452	0.079384
105746	1997.1671233	0.321712
105749	1997.1863014	0.445898
105752	1997.2054795	0.630748
105755	1997.2246575	0.801343
105758	1997.2438356	0.884145
105761	1997.2630137	1.157284
105764	1997.2821918	1.267563
105767	1997.3013699	1.192513
105770	1997.3205479	1.293748
105773	1997.339726	1.414808
105776	1997.3589041	1.418202
105779	1997.3780822	1.540634
105782	1997.3972603	1.642297
105785	1997.4164384	1.576692
105788	1997.4356164	1.631512
105791	1997.4547945	1.76927
105794	1997.4739726	1.897488
105797	1997.4931507	1.974932
105800	1997.5123288	1.787035
105803	1997.5315068	1.952231
105806	1997.5506849	2.04962
105809	1997.569863	2.165555
105812	1997.5890411	2.197463
105815	1997.6082192	2.362485
105818	1997.6273973	2.476367
105821	1997.6465753	2.609452
105824	1997.6657534	2.615747
105827	1997.6849315	2.776596
105830	1997.7041096	2.933509
105833	1997.7232877	2.949771
105836	1997.7424658	3.08408
105839	1997.7616438	3.098131
105842	1997.7808219	3.13258
105845	1997.8	3.195714
105848	1997.8191781	3.233847
105851	1997.8383562	3.423021
105854	1997.8575342	3.457685
105857	1997.8767123	3.474588
105860	1997.8958904	3.31485
105863	1997.9150685	3.298701
105866	1997.9342466	3.285287
105869	1997.9534247	3.223471
105872	1997.9726027	3.099914
105875	1997.9917808	2.94742
105878	1998.0109589	2.953808
105881	1998.030137	2.817454
105884	1998.0493151	2.647666
105887	1998.0684932	2.623996
105890	1998.0876712	2.719267
105893	1998.1068493	2.493121
105896	1998.1260274	2.229747
105899	1998.1452055	1.935784
105902	1998.1643836	1.9679
105905	1998.1835616	1.792857
105908	1998.2027397	1.698727
105911	1998.2219178	1.651697
105914	1998.2410959	1.501106
105917	1998.260274	1.386038
105920	1998.2794521	1.193467
105923	1998.2986301	1.106339
105926	1998.3178082	1.112446
105929	1998.3369863	0.944378
105932	1998.3561644	0.786179
105935	1998.3753425	0.551423
105938	1998.3945205	0.536006
105941	1998.4136986	0.238689
105944	1998.4328767	0.109291
105947	1998.4520548	0.024169
105950	1998.4712329	-0.011586
105953	1998.490411	-0.085064
105956	1998.509589	-0.280594
105959	1998.5287671	-0.288055
105962	1998.5479452	-0.381719
105965	1998.5671233	-0.391814
105968	1998.5863014	-0.483205
105971	1998.6054795	-0.524292
105974	1998.6246575	-0.602298
105977	1998.6438356	-0.709002
105980	1998.6630137	-0.680459
105983	1998.6821918	-0.623237
105986	1998.7013699	-0.712841
105989	1998.7205479	-0.794382
105992	1998.739726	-0.83295
105995	1998.7589041	-0.907318
105998	1998.7780822	-1.033625
106001	1998.7972603	-0.925601
106004	1998.8164384	-1.019418
106007	1998.8356164	-0.93206
106010	1998.8547945	-1.023055
106013	1998.8739726	-1.077137
106016	1998.8931507	-0.975388
106019	1998.9123288	-1.007336
106022	1998.9315068	-1.000117
106025	1998.9506849	-1.036811
106028	1998.969863	-0.952688
106031	1998.9890411	-1.022112
106034	1999.0082192	-0.932386
106037	1999.0273973	-0.992923
106040	1999.0465753	-1.121885
106043	1999.0657534	-1.208162
106046	1999.0849315	-1.188601
106049	1999.1041096	-1.33382
106052	1999.1232877	-1.170778
106055	1999.1424658	-1.100123
106058	1999.1616438	-1.000548
106061	1999.1808219	-1.009829
106064	1999.2	-1.07234
106067	1999.2191781	-1.095274
106070	1999.2383562	-1.037615
106073	1999.2575342	-1.039452
106076	1999.2767123	-1.185098
106079	1999.2958904	-1.177961
106082	1999.3150685	-1.114989
106085	1999.3342466	-1.096611
106088	1999.3534247	-0.962105
106091	1999.3726027	-0.849222
106094	1999.3917808	-0.796285
106097	1999.4109589	-0.721669
106100	1999.430137	-0.944524
106103	1999.4493151	-0.920906
106106	1999.4684932	-0.732498
106109	1999.4876712	-0.636676
106112	1999.5068493	-0.755069
106115	1999.5260274	-0.78981
106118	1999.5452055	-0.792175
106121	1999.5643836	-0.787545
106124	1999.5835616	-0.932894
106127	1999.6027397	-0.879468
106130	1999.6219178	-0.806773
106133	1999.6410959	-0.761149
106136	1999.660274	-0.812306
106139	1999.6794521	-0.825753
106142	1999.6986301	-0.85198
106145	1999.7178082	-0.794545
106148	1999.7369863	-0.948325
106151	1999.7561644	-0.920862
106154	1999.7753425	-0.880409
106157	1999.7945205	-0.88146
106160	1999.8136986	-1.075928
106163	1999.8328767	-0.999783
106166	1999.8520548	-1.05395
106169	1999.8712329	-0.994301
106172	1999.890411	-1.079155
106175	1999.909589	-1.206526
106178	1999.9287671	-1.200722
106181	1999.9479452	-1.147554
106184	1999.9671233	-1.268213
106187	1999.9863014	-1.249014
106190	2000.0054645	-1.170791
106193	2000.0245902	-1.312701
106196	2000.0437158	-1.334729
106199	2000.0628415	-1.31074
106202	2000.0819672	-1.21609
106205	2000.1010929	-1.078464
106208	2000.1202186	-1.131529
106211	2000.1393443	-1.212396
106214	2000.1584699	-1.324562
106217	2000.1775956	-1.17719
106220	2000.1967213	-1.17522
106223	2000.215847	-1.253293
106226	2000.2349727	-1.266237
106229	2000.2540984	-1.036654
106232	2000.273224	-1.015243
106235	2000.2923497	-1.162411
106238	2000.3114754	-1.232281
106241	2000.3306011	-1.202537
106244	2000.3497268	-1.048604
106247	2000.3688525	-1.009905
106250	2000.3879781	-0.956991
106253	2000.4071038	-0.863734
106256	2000.4262295	-0.883421
106259	2000.4453552	-0.9246
106262	2000.4644809	-0.811524
106265	2000.4836066	-0.762745
106268	2000.5027322	-0.977637
106271	2000.5218579	-0.956578
106274	2000.5409836	-0.781825
106277	2000.5601093	-0.619825
106280	2000.579235	-0.590324
106283	2000.5983607	-0.692059
106286	2000.6174863	-0.525079
106289	2000.636612	-0.563929
106292	2000.6557377	-0.595046
106295	2000.6748634	-0.538008
106298	2000.6939891	-0.493243
106301	2000.7131148	-0.490871
106304	2000.7322404	-0.567567
106307	2000.7513661	-0.554388
106310	2000.7704918	-0.594351
106313	2000.7896175	-0.554459
106316	2000.8087432	-0.529713
106319	2000.8278689	-0.454612
106322	2000.8469945	-0.452782
106325	2000.8661202	-0.563269
106328	2000.8852459	-0.608177
106331	2000.9043716	-0.635809
106334	2000.9234973	-0.656589
106337	2000.942623	-0.807937
106340	2000.9617486	-0.755981
106343	2000.9808743	-0.709383
106346	2001.0	-0.622671
106349	2001.0191781	-0.723063
106352	2001.0383562	-0.788593
106355	2001.0575342	-0.81832
106358	2001.0767123	-0.991492
106361	2001.0958904	-1.054919
106364	2001.1150685	-1.136493
106367	2001.1342466	-1.050212
106370	2001.1534247	-0.981484
106373	2001.1726027	-0.805603
106376	2001.1917808	-0.762331
106379	2001.2109589	-0.723441
106382	2001.230137	-0.657197
106385	2001.2493151	-0.626269
106388	2001.2684932	-0.749431
106391	2001.2876712	-0.744111
106394	2001.3068493	-0.683399
106397	2001.3260274	-0.684166
106400	2001.3452055	-0.792251
106403	2001.3643836	-0.668365
106406	2001.3835616	-0.571265
106409	2001.4027397	-0.447726
106412	2001.4219178	-0.499586
106415	2001.4410959	-0.429687
106418	2001.460274	-0.454494
106421	2001.4794521	-0.325606
106424	2001.4986301	-0.425431
106427	2001.5178082	-0.290424
106430	2001.5369863	-0.158548
106433	2001.5561644	-0.093289
106436	2001.5753425	-0.062208
106439	2001.5945205	-0.117678
106442	2001.6136986	-0.184409
106445	2001.6328767	-0.155576
106448	2001.6520548	-0.047832
106451	2001.6712329	-0.069761
106454	2001.690411	-0.059143
106457	2001.709589	-0.09342
106460	2001.7287671	-0.161283
106463	2001.7479452	-0.025267
106466	2001.7671233	-0.040849
106469	2001.7863014	-0.141877
106472	2001.8054795	-0.239266
106475	2001.8246575	-0.040851
106478	2001.8438356	0.084899
106481	2001.8630137	-0.131703
106484	2001.8821918	-0.156386
106487	2001.9013699	-0.06093
106490	2001.9205479	-0.093789
106493	2001.939726	0.049159
106496	2001.9589041	0.182419
106499	2001.9780822	0.333703
106502	2001.9972603	0.45896
106505	2002.0164384	0.633963
106508	2002.0356164	0.601146
106511	2002.0547945	0.555006
106514	2002.0739726	0.353502
106517	2002.0931507	0.477685
106520	2002.1123288	0.402207
106523	2002.1315068	0.367927
106526	2002.1506849	0.296147
106529	2002.169863	0.564302
106532	2002.1890411	0.345554
106535	2002.2082192	0.389518
106538	2002.2273973	0.348566
106541	2002.2465753	0.494633
106544	2002.2657534	0.373033
106547	2002.2849315	0.362421
106550	2002.3041096	0.274699
106553	2002.3232877	0.155228
106556	2002.3424658	-0.013994
106559	2002.3616438	0.04913
106562	2002.3808219	0.17149
106565	2002.4	0.27778
106568	2002.4191781	0.251511
106571	2002.4383562	0.292806
106574	2002.4575342	0.158536
106577	2002.4767123	0.149339
106580	2002.4958904	0.139682
106583	2002.5150685	0.296179
106586	2002.5342466	0.51571
106589	2002.5534247	0.671655
106592	2002.5726027	0.812848
106595	2002.5917808	0.666288
106598	2002.6109589	0.800025
106601	2002.630137	0.889383
106604	2002.6493151	0.963104
106607	2002.6684932	1.130933
106610	2002.6876712	1.21507
106613	2002.7068493	1.377046
106616	2002.7260274	1.460533
106619	2002.7452055	1.455568
106622	2002.7643836	1.57627
106625	2002.7835616	1.732026
106628	2002.8027397	1.950776
106631	2002.8219178	1.97141
106634	2002.8410959	1.943307
106637	2002.860274	1.907909
106640	2002.8794521	1.812241
106643	2002.8986301	1.773764
106646	2002.9178082	1.799009
106649	2002.9369863	1.830941
106652	2002.9561644	1.812563
106655	2002.9753425	1.763128
106658	2002.9945205	1.548602
106661	2003.0136986	1.454913
106664	2003.0328767	1.302507
106667	2003.0520548	1.268867
106670	2003.0712329	1.24438
106673	2003.090411	1.221134
106676	2003.109589	1.106292
106679	2003.1287671	1.083272
106682	2003.1479452	0.932094
106685	2003.1671233	1.022264
106688	2003.1863014	0.905498
106691	2003.2054795	0.745483
106694	2003.2246575	0.589688
106697	2003.2438356	0.442547
106700	2003.2630137	0.496282
106703	2003.2821918	0.474724
106706	2003.3013699	0.460723
106709	2003.3205479	0.365319
106712	2003.339726	0.280717
106715	2003.3589041	0.20569
106718	2003.3780822	0.091048
106721	2003.3972603	0.21805
106724	2003.4164384	0.11804
106727	2003.4356164	0.326175
106730	2003.4547945	0.437444
106733	2003.4739726	0.44474
106736	2003.4931507	0.524518
106739	2003.5123288	0.406396
106742	2003.5315068	0.436765
106745	2003.5506849	0.465134
106748	2003.569863	0.587068
106751	2003.5890411	0.505437
106754	2003.6082192	0.480736
106757	2003.6273973	0.485221
106760	2003.6465753	0.440551
106763	2003.6657534	0.428725
106766	2003.6849315	0.327284
106769	2003.7041096	0.302512
106772	2003.7232877	0.293874
106775	2003.7424658	0.306914
106778	2003.7616438	0.347213
106781	2003.7808219	0.350134
106784	2003.8	0.368225
106787	2003.8191781	0.522972
106790	2003.8383562	0.579087
106793	2003.8575342	0.528878
106796	2003.8767123	0.561262
106799	2003.8958904	0.700699
106802	2003.9150685	0.62349
106805	2003.9342466	0.476112
106808	2003.9534247	0.392902
106811	2003.9726027	0.365139
106814	2003.9917808	0.357683
106817	2004.010929	0.591222
106820	2004.0300546	0.767201
106823	2004.0491803	0.871094
106826	2004.068306	0.727653
106829	2004.0874317	0.641842
106832	2004.1065574	0.484969
106835	2004.1256831	0.472967
106838	2004.1448087	0.428303
106841	2004.1639344	0.53674
106844	2004.1830601	0.320202
106847	2004.2021858	0.290287
106850	2004.2213115	0.211517
106853	2004.2404372	0.151928
106856	2004.2595628	0.314916
106859	2004.2786885	0.495851
106862	2004.2978142	0.52708
106865	2004.3169399	0.548936
106868	2004.3360656	0.458884
106871	2004.3551913	0.382366
106874	2004.3743169	0.442951
106877	2004.3934426	0.439348
106880	2004.4125683	0.406465
106883	2004.431694	0.250844
106886	2004.4508197	0.260491
106889	2004.4699454	0.470257
106892	2004.489071	0.599827
106895	2004.5081967	0.460236
106898	2004.5273224	0.688531
106901	2004.5464481	0.84175
106904	2004.5655738	0.803565
106907	2004.5846995	0.608923
106910	2004.6038251	0.610208
106913	2004.6229508	0.619247
106916	2004.6420765	0.739933
106919	2004.6612022	0.844686
106922	2004.6803279	0.832971
106925	2004.6994536	0.810183
106928	2004.7185792	0.888798
106931	2004.7377049	0.710394
106934	2004.7568306	0.612359
106937	2004.7759563	0.613395
106940	2004.795082	0.671178
106943	2004.8142077	0.724017
106946	2004.8333333	0.857796
106949	2004.852459	0.829231
106952	2004.8715847	0.766232
106955	2004.8907104	0.769591
106958	2004.9098361	0.731366
106961	2004.9289617	0.766798
106964	2004.9480874	0.849294
106967	2004.9672131	0.908528
106970	2004.9863388	0.880649
106973	2005.0054795	0.907822
106976	2005.0246575	0.861421
106979	2005.0438356	0.781327
106982	2005.0630137	0.762527
106985	2005.0821918	0.664496
106988	2005.1013699	0.81871
106991	2005.1205479	0.986399
106994	2005.139726	1.004356
106997	2005.1589041	0.95419
107000	2005.1780822	1.103481
107003	2005.1972603	1.120733
107006	2005.2164384	1.010289
107009	2005.2356164	0.838369
107012	2005.2547945	0.71654
107015	2005.2739726	0.61853
107018	2005.2931507	0.705539
107021	2005.3123288	0.718946
107024	2005.3315068	0.673897
107027	2005.3506849	0.530981
107030	2005.369863	0.368006
107033	2005.3890411	0.380075
107036	2005.4082192	0.438093
