Ma	O2percent
549.4485	5.3317
548.729	5.3311
547.2903	5.3296
546.5732	5.2657
545.8538	5.2651
544.415	5.2637
543.6956	5.263
542.9762	5.2623
541.5396	5.1977
540.8203	5.197
539.3815	5.1956
538.6621	5.1949
537.9426	5.1942
536.5061	5.1296
535.7867	5.1289
534.3479	5.1275
533.6284	5.1269
532.9091	5.1262
531.4726	5.0615
530.7532	5.0608
529.3144	5.0594
528.595	5.0588
527.8756	5.0581
526.4368	5.0567
525.7174	5.0561
524.998	5.0554
523.5592	5.054
522.842	4.99
521.4033	4.9887
520.6839	4.988
519.9645	4.9872
518.5257	4.9859
517.8063	4.9853
516.3675	4.9839
515.6481	4.9832
514.9287	4.9825
513.4899	4.9811
512.7728	4.9172
511.334	4.9158
510.6146	4.9151
509.8952	4.9144
508.4586	4.8498
507.7391	4.8491
506.3004	4.8477
505.581	4.8471
504.8616	4.8464
503.4228	4.845
502.7057	4.781
501.9863	4.7804
500.5474	4.779
499.8281	4.7783
498.3893	4.777
497.6699	4.7763
496.9505	4.7755
495.514	4.7109
494.7946	4.7102
493.358	4.6456
492.6387	4.6449
491.9193	4.6442
490.4805	4.6429
489.761	4.6421
488.3223	4.6408
487.6051	4.5768
486.8857	4.5762
485.4469	4.5748
484.7276	4.5741
483.2888	4.5727
482.5694	4.5721
481.85	4.5714
480.4112	4.5699
479.6918	4.5693
478.9724	4.5686
477.5358	4.504
476.8164	4.5032
475.3776	4.5019
474.6582	4.5013
473.9411	4.4373
472.5023	4.4359
471.7829	4.4352
470.3464	4.3706
469.627	4.3699
468.9076	4.3692
467.4687	4.3679
466.7517	4.3039
465.3129	4.3025
464.5935	4.3018
463.874	4.3011
462.4353	4.2998
461.7159	4.2991
460.9987	4.2351
459.5598	4.2338
458.8405	4.2331
457.404	4.1684
456.6846	4.1677
455.9651	4.1671
454.5264	4.1657
453.807	4.165
452.3682	4.1636
451.6488	4.163
450.9317	4.099
449.4929	4.0976
448.7734	4.0969
447.337	4.0323
446.6153	4.0949
445.8936	4.1575
444.4525	4.2194
443.733	4.2187
442.2921	4.2807
441.5727	4.28
440.851	4.3426
439.4099	4.4045
438.6905	4.4038
437.971	4.4031
436.53	4.4651
435.8084	4.5276
434.3696	4.5263
433.6479	4.5889
432.9262	4.6515
431.4874	4.6501
430.7657	4.7128
429.3269	4.7114
428.6053	4.774
427.8859	4.7732
426.4447	4.8352
425.7254	4.8345
424.2843	4.8965
423.5626	4.959
422.8432	4.9584
421.4021	5.0203
420.6827	5.0196
419.9611	5.0822
418.5223	5.0809
417.8006	5.1435
416.3595	5.2054
415.6401	5.2046
414.9207	5.204
413.4796	5.266
412.758	5.3286
411.3169	5.3905
410.5975	5.3898
409.878	5.3891
408.437	5.451
407.7176	5.4504
406.9959	5.513
405.5549	5.5749
404.8355	5.5742
403.3944	5.636
402.6726	5.6987
401.9533	5.6981
400.5122	5.76
399.7928	5.7593
398.3518	5.8212
397.6324	5.8205
396.9061	6.0097
395.4605	6.1982
394.7343	6.3874
393.2886	6.5758
392.5692	6.5752
391.8453	6.701
390.3997	6.8896
389.6734	7.0788
388.9495	7.2046
387.5016	7.4565
386.7776	7.5824
385.3274	7.8975
384.6035	8.0234
383.8795	8.1493
382.4316	8.401
381.7008	8.7168
380.9746	8.906
379.5267	9.1578
378.8027	9.2837
377.3571	9.4722
376.6309	9.6614
375.9069	9.7873
374.459	10.039
373.7328	10.2282
372.2826	10.5433
371.5473	10.9856
370.8256	11.0483
369.3572	11.8696
368.6333	11.9955
367.9002	12.3746
366.4432	12.8795
365.7101	13.2586
364.9748	13.7008
363.5178	14.2059
362.7847	14.5849
361.3277	15.0899
360.5946	15.4689
359.8707	15.5948
358.4022	16.4162
357.6783	16.5421
356.9453	16.9212
355.4883	17.4261
354.7551	17.8051
353.2982	18.3101
352.5629	18.7524
351.8275	19.1948
350.3705	19.6997
349.642	19.9522
348.9158	20.1414
347.4588	20.6463
346.7325	20.8355
345.9995	21.2146
344.5561	21.3397
343.8344	21.4024
342.3865	21.6542
341.6602	21.8433
340.9364	21.9691
339.4907	22.1577
338.7645	22.3469
337.3189	22.5354
336.5926	22.7246
335.871	22.7872
334.4208	23.1023
333.6968	23.2282
332.9752	23.2908
331.5272	23.5426
330.8056	23.6052
329.3577	23.857
328.6337	23.9828
327.912	24.0455
326.4641	24.2973
325.7425	24.3599
324.2945	24.6117
323.5706	24.7376
322.8489	24.8002
321.4033	24.9887
320.6816	25.0513
319.9622	25.0506
318.5166	25.2391
317.7949	25.3017
316.3538	25.3636
315.632	25.4262
314.9104	25.4888
313.4694	25.5508
312.75	25.5501
311.3066	25.6753
310.5872	25.6745
309.8656	25.7372
308.4222	25.8624
307.7027	25.8617
306.9811	25.9243
305.5423	25.923
304.8229	25.9223
303.3796	26.0475
302.6602	26.0468
301.9407	26.0461
300.4974	26.1714
299.7758	26.234
298.337	26.2326
297.613	26.3585
296.8936	26.3578
295.4525	26.4197
294.733	26.4191
293.2943	26.4177
292.5749	26.417
291.8578	26.353
290.4213	26.2884
289.7042	26.2244
288.987	26.1604
287.5505	26.0958
286.8334	26.0318
285.3969	25.967
284.6797	25.9032
283.9626	25.8392
282.5261	25.7746
281.809	25.7106
280.3724	25.6459
279.6553	25.5819
278.9382	25.518
277.5017	25.4533
276.7846	25.3894
275.3503	25.2614
274.6309	25.2607
273.9138	25.1968
272.4773	25.132
271.7579	25.1314
270.3235	25.0035
269.6065	24.9395
268.8871	24.9388
