Ma	PAL
541.6602	0.2671
541.2389	0.2648
540.8149	0.2648
540.8178	0.2625
540.3938	0.2625
539.9726	0.2602
539.5514	0.2579
539.1273	0.2578
538.7062	0.2555
538.2821	0.2555
537.8609	0.2532
537.4369	0.2532
537.0128	0.2532
536.5916	0.2509
536.1675	0.2508
535.7464	0.2485
535.3223	0.2485
534.8982	0.2485
534.4742	0.2485
534.053	0.2462
533.6289	0.2462
533.2048	0.2461
532.7808	0.2461
532.3596	0.2438
531.9355	0.2438
531.5114	0.2438
531.0874	0.2437
530.6633	0.2437
530.2392	0.2437
529.8181	0.2414
529.394	0.2414
528.9699	0.2414
528.5459	0.2413
528.1218	0.2413
527.6977	0.2413
527.2736	0.2413
526.8496	0.2412
526.4255	0.2412
526.0014	0.2412
525.5773	0.2412
525.1562	0.2389
524.7321	0.2389
524.308	0.2388
523.884	0.2388
523.4599	0.2388
523.0358	0.2388
522.6117	0.2387
522.1877	0.2387
521.7635	0.2387
521.3395	0.2387
520.9154	0.2387
520.4885	0.2409
520.0644	0.2409
519.6402	0.2409
519.2162	0.2409
518.7922	0.2408
518.3681	0.2408
517.944	0.2408
517.52	0.2408
517.0959	0.2408
516.6718	0.2407
516.2477	0.2407
515.8237	0.2407
515.3996	0.2407
514.9755	0.2406
514.5514	0.2406
514.1274	0.2406
513.7033	0.2406
513.2792	0.2406
512.8552	0.2405
512.4311	0.2405
512.007	0.2405
511.5829	0.2405
511.1589	0.2405
510.7348	0.2404
510.3107	0.2404
509.8866	0.2404
509.4626	0.2404
509.0385	0.2403
508.6143	0.2403
508.1904	0.2403
507.7663	0.2403
507.3422	0.2403
506.9181	0.2402
506.4941	0.2402
506.07	0.2402
505.6459	0.2402
505.2218	0.2402
504.7978	0.2401
504.3708	0.2424
503.9466	0.2424
503.5226	0.2423
503.0986	0.2423
502.6745	0.2423
502.2504	0.2423
501.8293	0.24
501.4052	0.24
500.9811	0.2399
500.557	0.2399
500.1359	0.2376
499.7118	0.2376
499.2877	0.2376
498.8637	0.2375
498.4396	0.2375
498.0155	0.2375
497.5914	0.2375
497.1674	0.2375
496.7433	0.2374
496.3221	0.2351
495.898	0.2351
495.474	0.2351
495.0499	0.2351
494.6287	0.2328
494.2046	0.2327
493.7806	0.2327
493.3565	0.2327
492.9353	0.2304
492.5112	0.2304
492.0872	0.2304
491.6631	0.2303
491.242	0.228
490.8178	0.228
490.3938	0.228
489.9726	0.2257
489.5486	0.2257
489.1245	0.2256
488.7033	0.2233
488.2793	0.2233
487.8552	0.2233
487.4311	0.2233
487.0099	0.221
486.5859	0.2209
486.1618	0.2209
485.7406	0.2186
485.3166	0.2186
484.8925	0.2186
484.4684	0.2186
484.0472	0.2162
483.6232	0.2162
483.6261	0.2139
483.202	0.2139
482.7779	0.2139
482.3538	0.2139
481.9327	0.2116
481.5086	0.2116
481.0845	0.2115
480.6604	0.2115
480.2393	0.2092
479.8152	0.2092
479.3912	0.2092
478.967	0.2091
478.543	0.2091
478.1189	0.2091
477.6949	0.2091
477.2708	0.2091
476.8467	0.209
476.4226	0.209
476.0015	0.2067
475.5774	0.2067
475.1562	0.2044
474.7322	0.2044
474.3081	0.2043
473.884	0.2043
473.4599	0.2043
473.0359	0.2043
472.6118	0.2043
472.1877	0.2042
471.7637	0.2042
471.3396	0.2042
470.9155	0.2042
470.4914	0.2041
470.0674	0.2041
469.6433	0.2041
469.2192	0.2041
468.7951	0.2041
468.3711	0.204
467.947	0.204
467.5229	0.204
467.1018	0.2017
466.6777	0.2017
466.2565	0.1994
465.8324	0.1993
465.4083	0.1993
464.9843	0.1993
464.5631	0.197
464.1391	0.197
463.7149	0.197
463.2909	0.1969
462.8668	0.1969
462.4428	0.1969
462.0187	0.1969
461.5946	0.1968
461.1705	0.1968
460.7465	0.1968
460.3224	0.1968
459.8982	0.1968
459.4743	0.1967
459.0502	0.1967
458.6261	0.1967
458.202	0.1967
457.778	0.1967
457.3538	0.1966
456.9327	0.1943
456.5086	0.1943
456.0846	0.1943
455.6604	0.1943
455.2364	0.1942
454.8124	0.1942
454.3883	0.1942
453.9642	0.1942
453.5401	0.1942
453.1161	0.1941
452.692	0.1941
452.2679	0.1941
451.8437	0.1941
451.4198	0.1941
450.9957	0.194
450.5716	0.194
450.1476	0.194
449.7235	0.194
449.2993	0.1939
448.8753	0.1939
448.4513	0.1939
448.0272	0.1939
447.6031	0.1939
447.179	0.1938
446.755	0.1938
446.3309	0.1938
445.9068	0.1938
445.4798	0.196
445.0558	0.196
444.6317	0.196
444.2076	0.196
443.7835	0.1959
443.3566	0.1982
442.9325	0.1982
442.5084	0.1982
442.0844	0.1981
441.6574	0.2004
441.2333	0.2004
440.8092	0.2004
440.3852	0.2003
439.9582	0.2026
439.5341	0.2026
439.11	0.2026
438.686	0.2025
438.259	0.2048
437.8349	0.2048
437.4108	0.2048
436.9868	0.2046
436.5598	0.207
436.1357	0.207
435.7086	0.2092
435.2847	0.2092
434.8577	0.2115
434.4336	0.2115
434.0095	0.2114
433.5855	0.2114
433.1585	0.2137
432.7344	0.2137
432.3104	0.2136
431.8834	0.2159
431.4593	0.2159
431.0352	0.2159
