Ma	PAL
541.0502	0.0799
540.6261	0.0798
540.205	0.0775
539.7809	0.0775
539.3568	0.0775
538.9327	0.0775
538.5087	0.0774
538.0846	0.0774
537.6604	0.0774
537.2364	0.0774
536.8124	0.0774
536.3883	0.0773
535.9642	0.0773
535.5402	0.0773
535.1161	0.0773
534.692	0.0773
534.2679	0.0772
533.8439	0.0772
533.4198	0.0772
532.9957	0.0772
532.5716	0.0771
532.1476	0.0771
531.7235	0.0771
531.2993	0.0771
530.8753	0.0771
530.4513	0.077
530.0272	0.077
529.6031	0.077
529.1791	0.077
528.755	0.077
528.3309	0.0769
527.9068	0.0769
527.4828	0.0769
527.0558	0.0792
526.6317	0.0791
526.2076	0.0791
525.7835	0.0791
525.3595	0.0791
524.9354	0.079
524.5084	0.0813
524.0844	0.0813
523.6602	0.0813
523.2362	0.0812
522.8122	0.0812
522.3881	0.0812
521.964	0.0812
521.5399	0.0812
521.1159	0.0811
520.6918	0.0811
520.2677	0.0811
519.8436	0.0811
519.4196	0.0811
518.9955	0.081
518.5714	0.081
518.1474	0.081
517.7204	0.0832
517.2963	0.0832
516.8721	0.0832
516.4482	0.0832
516.0241	0.0832
515.6	0.0831
515.1759	0.0831
514.7519	0.0831
514.3277	0.0831
513.9037	0.0831
513.4796	0.083
513.0556	0.083
512.6315	0.083
512.2074	0.083
511.7833	0.0829
511.3564	0.0852
510.9323	0.0852
510.5082	0.0852
510.0842	0.0851
509.6601	0.0851
509.2331	0.0874
508.809	0.0874
508.385	0.0873
507.9609	0.0873
507.5368	0.0873
507.1127	0.0873
506.6886	0.0873
506.2646	0.0872
505.8405	0.0872
505.4165	0.0872
504.9924	0.0872
504.5683	0.0871
504.1442	0.0871
503.7202	0.0871
503.2961	0.0871
502.8691	0.0893
502.445	0.0893
502.021	0.0893
501.5969	0.0893
501.1728	0.0893
500.7487	0.0892
500.3247	0.0892
499.9005	0.0892
499.4765	0.0892
499.0525	0.0892
498.6284	0.0891
498.2043	0.0891
497.7802	0.0891
497.3562	0.0891
496.9321	0.089
496.508	0.089
496.0839	0.089
495.6599	0.089
495.2358	0.089
494.8117	0.0889
494.3906	0.0866
493.9665	0.0866
493.5424	0.0866
493.1183	0.0866
492.6943	0.0865
492.2702	0.0865
491.846	0.0865
491.422	0.0865
490.998	0.0865
490.5739	0.0864
490.1498	0.0864
489.7258	0.0864
489.3017	0.0864
488.8776	0.0864
488.4535	0.0863
488.0295	0.0863
487.6082	0.084
487.1842	0.084
486.7602	0.084
486.3361	0.0839
485.912	0.0839
485.4879	0.0839
485.0639	0.0839
484.6398	0.0839
484.2157	0.0838
483.7915	0.0838
483.3676	0.0838
482.9435	0.0838
482.5194	0.0838
482.0953	0.0836
481.6713	0.0836
481.2472	0.0836
480.8231	0.0836
480.3991	0.0836
479.975	0.0836
479.5509	0.0836
479.1268	0.0836
478.7027	0.0836
478.2787	0.0835
477.8546	0.0835
477.4304	0.0835
477.0065	0.0835
476.5824	0.0835
476.1583	0.0834
475.7343	0.0834
475.3102	0.0834
474.886	0.0834
474.462	0.0833
474.0351	0.0856
473.611	0.0856
473.1869	0.0856
472.7628	0.0855
472.3388	0.0855
471.9146	0.0855
471.4906	0.0855
471.0665	0.0855
470.6425	0.0854
470.2184	0.0854
469.7943	0.0854
469.3703	0.0854
468.9462	0.0853
468.5221	0.0853
468.098	0.0853
467.674	0.0853
467.2499	0.0853
466.8258	0.0852
466.4017	0.0852
465.9777	0.0852
465.5535	0.0852
465.1295	0.0852
464.7055	0.0851
464.2814	0.0851
463.8573	0.0851
463.4332	0.0851
463.0092	0.085
462.5851	0.085
462.161	0.085
461.7368	0.085
461.3129	0.085
460.8888	0.0849
460.4647	0.0849
460.0407	0.0849
459.6166	0.0849
459.1925	0.0849
458.7684	0.0848
458.3444	0.0848
457.9203	0.0848
457.4962	0.0848
457.0721	0.0847
456.6481	0.0847
456.224	0.0847
455.7999	0.0847
455.3759	0.0847
454.9518	0.0846
454.5276	0.0846
454.1036	0.0846
453.6796	0.0846
453.2555	0.0846
452.8314	0.0845
452.4073	0.0845
451.9832	0.0845
451.5592	0.0845
451.1351	0.0844
450.7111	0.0844
450.287	0.0844
449.8629	0.0844
449.4388	0.0844
449.0148	0.0843
448.5907	0.0843
448.1666	0.0843
447.7425	0.0843
447.3185	0.0843
446.8944	0.0842
446.4703	0.0842
446.0462	0.0842
445.6193	0.0865
445.1952	0.0864
444.7711	0.0864
444.3471	0.0864
443.923	0.0864
443.496	0.0886
443.0719	0.0886
442.6479	0.0886
442.2238	0.0886
441.7997	0.0885
441.3756	0.0885
440.9516	0.0885
440.5274	0.0885
440.1005	0.0907
439.6764	0.0907
439.2524	0.0907
438.8283	0.0907
438.4042	0.0907
437.9802	0.0906
437.5561	0.0906
437.132	0.0906
436.7079	0.0906
436.2839	0.0905
435.8569	0.0928
435.4328	0.0928
435.0087	0.0928
434.5847	0.0927
434.1606	0.0927
433.7336	0.095
433.3094	0.095
432.8855	0.0949
432.4614	0.0949
432.0373	0.0949
431.6132	0.0949
431.1892	0.0949
430.7651	0.0948
430.341	0.0948
429.917	0.0948
429.4929	0.0948
429.0688	0.0947
428.6447	0.0947
428.2178	0.097
427.7936	0.097
427.3667	0.0992
426.9426	0.0992
426.5186	0.0992
426.0945	0.0992
425.6675	0.1014
425.2434	0.1014
424.8194	0.1014
424.3953	0.1014
423.9683	0.1036
423.5442	0.1036
423.1202	0.1036
422.6961	0.1036
422.272	0.1035
421.8479	0.1035
421.4239	0.1035
420.9969	0.1058
420.5728	0.1057
420.1488	0.1057
419.7247	0.1057
419.3006	0.1057
418.8765	0.1056
418.4525	0.1056
418.0284	0.1056
417.6042	0.1056
417.1773	0.1078
416.7532	0.1078
416.3292	0.1078
415.9051	0.1078
415.4811	0.1078
415.057	0.1077
414.6329	0.1077
414.2088	0.1077
413.7848	0.1077
413.3607	0.1077
412.9365	0.1076
412.5125	0.1076
412.0885	0.1076
411.6644	0.1076
411.2403	0.1075
410.8162	0.1075
410.3921	0.1075
409.9681	0.1075
409.544	0.1075
409.1171	0.1097
408.693	0.1097
408.266	0.112
407.8418	0.1118
407.415	0.1142
406.988	0.1165
406.5638	0.1164
406.1369	0.1187
405.7099	0.121
405.283	0.1232
404.8559	0.1255
404.4319	0.1255
404.0049	0.1277
403.5779	0.13
403.151	0.1323
402.724	0.1345
402.297	0.1368
401.873	0.1368
401.446	0.139
401.0219	0.139
400.5977	0.139
400.1709	0.1412
399.7439	0.1435
399.3169	0.1458
399.314	0.148
398.887	0.1503
398.46	0.1526
398.4571	0.1548
398.0302	0.1571
397.6032	0.1594
397.1762	0.1616
396.7492	0.1639
396.3223	0.1662
396.3193	0.1684
395.8953	0.1684
395.8923	0.1707
395.4683	0.1707
395.0413	0.1729
394.6143	0.1752
394.1874	0.1775
394.1844	0.1797
393.7574	0.182
393.3305	0.1843
393.3276	0.1865
392.9005	0.1888
392.4736	0.1911
392.0467	0.1933
391.6197	0.1956
391.1927	0.1979
390.7657	0.2001
390.3388	0.2024
389.9146	0.2024
389.4906	0.2023
389.4877	0.2046
389.0636	0.2046
389.0607	0.2069
388.6367	0.2069
388.2126	0.2068
387.7856	0.2091
387.3586	0.2114
387.3557	0.2136
386.9317	0.2136
386.9287	0.2159
386.5018	0.2182
386.0748	0.2204
385.6478	0.2227
385.2208	0.225
384.7939	0.2272
384.3669	0.2295
383.9399	0.2317
383.937	0.234
383.51	0.2363
383.083	0.2385
382.6561	0.2408
382.6532	0.2431
382.2262	0.2453
381.7992	0.2476
381.3721	0.2499
381.3693	0.2522
380.9423	0.2544
380.5154	0.2567
380.0884	0.2589
380.0855	0.2612
379.6585	0.2635
379.6556	0.2658
379.2286	0.268
379.2257	0.2703
378.7987	0.2726
378.7957	0.2749
378.3689	0.2771
