Ma	percentO2
562.0671	14.9965
561.3742	14.9969
560.6814	14.9975
559.9885	14.998
558.6007	15.0596
557.9078	15.0601
556.5221	15.061
555.8293	15.0615
554.4436	15.0625
553.7507	15.063
552.3671	15.0034
551.6742	15.0039
550.9814	15.0044
549.5977	14.9447
548.9049	14.9452
547.5192	14.9462
546.8263	14.9466
545.4426	14.8871
544.7499	14.8876
543.3662	14.8279
542.6734	14.8284
541.9805	14.8289
540.5948	14.8298
539.904	14.7698
538.5183	14.7707
537.8255	14.7711
536.4419	14.7116
535.749	14.7121
534.3633	14.713
533.6703	14.7136
532.9797	14.6534
531.5939	14.6543
530.9011	14.6549
529.5175	14.5953
528.8246	14.5958
527.4389	14.5968
526.7461	14.5973
525.3624	14.5375
524.6696	14.5381
523.9767	14.5386
522.5931	14.479
521.9002	14.4795
520.5145	14.4804
519.8216	14.4809
518.4381	14.4213
517.7452	14.4218
516.3616	14.3622
515.6686	14.3627
514.9759	14.3631
513.5901	14.3641
512.8973	14.3646
511.5137	14.305
510.8208	14.3054
509.4372	14.2459
508.7444	14.2463
507.3586	14.2473
506.6679	14.1872
505.975	14.1877
504.5893	14.1887
503.8963	14.1892
502.5128	14.1295
501.8199	14.13
500.4343	14.131
499.7414	14.1315
498.3578	14.0719
497.6649	14.0724
496.9721	14.0728
495.5864	14.0738
494.8956	14.0137
493.5099	14.0147
492.817	14.0152
491.4334	13.9556
490.7406	13.956
489.3548	13.9569
488.662	13.9575
487.9712	13.8974
486.5855	13.8984
485.8925	13.8989
484.509	13.8392
483.8162	13.8397
482.4304	13.8407
481.7376	13.8412
480.354	13.7816
479.6611	13.7821
478.9683	13.7825
477.5847	13.7229
476.8918	13.7234
475.5061	13.7244
474.8132	13.7248
473.4296	13.6653
472.7368	13.6657
471.3468	13.7879
470.6519	13.849
469.9548	13.9707
468.5649	14.0929
467.87	14.154
466.4779	14.3368
465.7851	14.3373
464.3931	14.5201
463.6981	14.5812
462.3103	14.6428
461.6153	14.7039
460.9224	14.7044
459.5347	14.766
458.8397	14.8271
457.4477	15.0099
456.7527	15.071
455.3628	15.1932
454.6679	15.2543
453.9729	15.3154
452.583	15.4376
451.8859	15.5593
450.496	15.6815
449.8011	15.7426
448.4091	15.9254
447.7141	15.9865
446.3221	16.1693
445.6292	16.1698
444.9322	16.2915
443.5423	16.4137
442.8473	16.4748
441.4553	16.6576
440.7603	16.7187
439.3704	16.8408
438.6734	16.9626
437.9784	17.0237
436.5864	17.2065
435.8935	17.2069
434.5015	17.3897
433.8066	17.4508
432.4144	17.6336
431.7217	17.6341
430.3296	17.8169
429.6347	17.878
428.9398	17.9391
427.5497	18.0613
426.8528	18.183
425.4628	18.3052
424.7679	18.3663
423.3759	18.5491
422.683	18.5495
421.986	18.6713
420.596	18.7934
419.9011	18.8546
418.5112	18.9768
417.8141	19.0985
416.4242	19.2207
415.7356	19.1
414.3624	18.7372
413.6738	18.6166
412.9872	18.4353
411.6141	18.0726
410.9276	17.8913
409.5523	17.5892
408.8637	17.4685
407.4822	17.3482
406.8018	16.9851
405.4351	16.4405
404.7464	16.3199
403.3754	15.8965
402.6867	15.7759
401.996	15.7158
401.3136	15.4132
400.6271	15.2319
399.9384	15.1112
398.5632	14.8091
397.8766	14.6278
396.5034	14.2651
395.8149	14.1444
394.4396	13.8423
393.753	13.661
392.3841	13.1771
391.6997	12.9352
390.3266	12.5725
389.6337	12.573
388.9409	12.5735
387.5552	12.5745
386.8622	12.5749
385.4766	12.5758
384.7837	12.5764
383.398	12.5774
382.7052	12.5779
381.3194	12.5789
380.6266	12.5794
379.9337	12.5798
378.548	12.5808
377.8552	12.5813
376.4694	12.5823
375.7766	12.5828
374.3909	12.5838
373.698	12.5843
372.3123	12.5852
371.6194	12.5857
370.9224	12.7074
369.5304	12.8902
368.8333	13.0119
367.4392	13.2553
366.7421	13.3771
365.3479	13.6205
364.651	13.7422
363.956	13.8033
362.5598	14.1073
361.8627	14.229
360.4707	14.4118
359.7737	14.5335
358.3796	14.7769
357.6825	14.8986
356.9854	15.0203
355.5934	15.2031
354.8963	15.3248
353.5002	15.6288
352.8052	15.6899
351.4111	15.9333
350.714	16.0551
349.322	16.2379
348.6271	16.299
347.93	16.4207
346.538	16.6035
345.843	16.6646
344.451	16.8474
343.754	16.9691
342.3577	17.2731
341.6627	17.3342
340.9657	17.4559
339.5737	17.6387
338.8767	17.7604
337.4846	17.9432
336.7896	18.0043
335.3956	18.2477
334.7006	18.3088
333.3065	18.5522
332.6115	18.6133
331.9144	18.7349
330.5183	19.039
329.8212	19.1607
328.4271	19.4041
327.7301	19.5258
326.338	19.7086
325.641	19.8304
324.9439	19.9521
323.5518	20.1349
322.8549	20.2566
321.4649	20.3788
320.7679	20.5005
319.3759	20.6833
318.6787	20.805
317.9818	20.9266
316.5897	21.1095
315.8927	21.2312
314.5028	21.3534
313.8014	21.5963
312.4116	21.7185
311.7124	21.9008
310.3204	22.0836
309.6234	22.2053
308.9263	22.327
307.5343	22.5098
306.8372	22.6315
305.4452	22.8143
304.7503	22.8754
303.3583	23.0582
302.6612	23.1799
301.9641	23.3016
300.5721	23.4844
299.8751	23.6061
298.483	23.789
297.786	23.9106
296.3919	24.1541
295.6968	24.2152
294.9999	24.3369
293.6058	24.5803
292.9108	24.6414
291.5167	24.8848
290.8195	25.0065
289.4444	24.7044
288.7579	24.5231
287.3826	24.221
286.6961	24.0397
285.3167	23.8589
284.6238	23.8594
283.9415	23.5568
282.5725	23.0729
281.8881	22.831
280.5171	22.4077
279.8326	22.1658
278.4637	21.6819
277.7792	21.44
276.4061	21.0773
275.7237	20.7747
