Ma	percentO2
563.1482	18.8745
562.4521	18.875
561.754	18.9361
560.3618	18.9371
559.6636	18.9982
558.9676	18.9987
557.5733	19.0603
556.8772	19.0608
555.4851	19.0618
554.789	19.0623
553.3969	19.0633
552.7029	19.0031
551.3192	18.7617
550.6252	18.7016
549.9313	18.6415
548.5665	17.8545
547.8747	17.7338
546.5036	17.1287
545.8117	17.008
544.4428	16.3423
543.7468	16.3428
542.3715	15.8589
541.6627	16.2231
540.9604	16.4054
539.564	16.5276
538.8616	16.7099
537.4546	17.1351
536.7481	17.4386
535.3433	17.8033
534.6409	17.9856
533.9343	18.2891
532.5252	18.775
531.8249	18.8967
530.4243	19.1401
529.7262	19.2012
528.3256	19.4445
527.6232	19.6269
526.9207	19.8092
525.5181	20.1133
524.8199	20.1743
523.4046	20.842
522.7064	20.9031
521.3058	21.1466
520.6097	21.147
519.9158	21.0869
518.5257	21.0273
517.8296	21.0278
516.4396	20.9682
515.7457	20.9081
514.3535	20.909
513.6553	20.9701
512.9593	20.9706
511.5692	20.911
510.8774	20.7903
509.5169	19.8822
508.8313	19.5796
507.4518	19.217
506.7642	18.975
505.3847	18.6124
504.6928	18.4916
503.307	18.3108
502.6152	18.1901
502.6236	17.9476
501.9212	18.13
500.5185	18.434
499.8161	18.6162
498.4113	18.9809
497.7088	19.1632
496.3062	19.4673
495.6038	19.6496
494.9014	19.8319
493.503	20.0147
492.8048	20.0758
491.4104	20.1374
491.4083	20.198
490.7187	20.0167
489.3476	19.4116
488.6579	19.2302
487.9681	19.0489
486.5865	18.7469
485.8989	18.5049
484.5194	18.1423
483.8254	18.0821
482.446	17.7195
481.7583	17.4775
480.3809	17.0543
479.6933	16.8123
478.3117	16.5103
477.6324	16.0259
476.9385	15.9658
475.5612	15.5425
474.8714	15.3612
473.4856	15.1804
472.7915	15.1202
471.4037	15.0
471.4121	14.7576
470.7161	14.7581
469.3197	14.8803
468.6215	14.9414
467.9212	15.0631
466.5228	15.2459
465.8225	15.3676
464.424	15.5504
463.7237	15.6721
462.3252	15.8549
461.6249	15.9766
460.9247	16.0983
459.5262	16.2811
458.8258	16.4029
457.4253	16.6463
456.7271	16.7074
455.3265	16.9508
454.6284	17.0119
453.9281	17.1336
452.5274	17.377
451.8293	17.4381
450.4287	17.6815
449.7284	17.8032
448.33	17.986
447.6276	18.1683
446.9252	18.3507
445.5225	18.6547
444.8243	18.7158
443.4237	18.9592
442.7234	19.0809
441.3228	19.3243
440.6204	19.5066
439.918	19.6888
438.5152	19.9929
437.815	20.1147
436.4166	20.2974
435.7142	20.4798
434.3157	20.6625
433.6154	20.7843
432.913	20.9666
431.5124	21.21
430.81	21.3924
429.4094	21.6358
428.7069	21.8181
427.3064	22.0615
426.6061	22.1832
425.9016	22.4261
424.5032	22.6089
423.8008	22.7913
422.4002	23.0347
421.6999	23.1564
420.9975	23.3387
419.599	23.5215
418.9008	23.5826
417.4939	24.0078
416.7936	24.1295
415.3931	24.373
414.6949	24.4341
413.9946	24.5558
412.5981	24.678
411.9	24.7391
410.5037	24.8613
410.5142	24.5582
409.8203	24.4981
408.4429	24.0748
407.753	23.8935
406.3736	23.5308
405.6839	23.3495
404.9941	23.1682
403.6147	22.8054
402.9207	22.7454
401.5518	22.0796
400.8578	22.0196
399.5184	20.5053
398.8371	20.0816
397.4681	19.4159
396.7784	19.2346
395.42	18.2659
394.7302	18.0845
393.4098	16.0249
392.7243	15.7223
391.3427	15.4203
390.655	15.1783
389.9674	14.9364
388.5857	14.6343
387.8961	14.453
386.5187	14.0297
385.8268	13.909
384.4389	13.7888
383.7449	13.7287
382.3633	13.4266
381.6631	13.5483
380.9585	13.7912
379.5516	14.2165
378.8492	14.3988
377.4423	14.8239
376.7378	15.067
375.3309	15.4922
374.6263	15.7351
373.9134	16.2205
372.5086	16.5851
371.8105	16.6461
370.4141	16.7684
369.7159	16.8295
368.3237	16.8305
367.6256	16.8916
366.9295	16.8921
365.5331	17.0143
364.8371	17.0148
363.4449	17.0157
362.7489	17.0162
361.3546	17.0778
360.6585	17.0783
359.9625	17.0788
358.5661	17.201
357.87	17.2015
356.4758	17.2631
355.7797	17.2636
354.3854	17.3252
353.6873	17.3862
352.9891	17.4474
351.5948	17.509
350.8902	17.7519
349.4939	17.874
348.7768	18.4807
347.3699	18.9059
346.6675	19.0882
345.9672	19.2099
344.5624	19.5746
343.8599	19.7569
342.4531	20.1821
341.7443	20.5462
340.3374	20.9715
339.6392	21.0326
338.9367	21.2149
337.5257	21.7612
336.8275	21.8224
335.4269	22.0659
334.7245	22.2482
333.3261	22.431
332.6237	22.6133
331.917	22.9167
330.5122	23.2814
329.8141	23.3426
328.4114	23.6465
327.7132	23.7077
326.3105	24.0117
325.6101	24.1334
324.9099	24.2551
323.5157	24.3167
322.809	24.6202
321.4106	24.803
320.7103	24.9247
319.3118	25.1076
318.6115	25.2293
317.9049	25.5328
316.5064	25.7156
315.8061	25.8373
314.4034	26.1413
313.7031	26.263
312.9986	26.506
311.6023	26.6282
310.9041	26.6893
309.5056	26.8721
308.8011	27.115
307.4068	27.1766
306.7086	27.2377
305.9999	27.6018
304.593	28.0271
303.8948	28.0882
302.4964	28.271
301.794	28.4533
300.3934	28.6966
299.6888	28.9396
298.9907	29.0007
297.5943	29.1229
296.8961	29.184
295.4977	29.3668
294.7995	29.4279
293.3989	29.6713
292.7006	29.7324
291.3065	29.794
290.6082	29.8551
289.9101	29.9162
288.5137	30.0384
287.8155	30.0995
286.4234	30.1005
285.7252	30.1616
284.3331	30.1626
283.637	30.1631
282.9388	30.2242
281.5425	30.3464
280.8464	30.3469
279.4521	30.4085
278.7561	30.409
277.3618	30.4706
276.6657	30.471
275.9697	30.4715
274.5754	30.5331
273.8793	30.5335
272.4872	30.5346
271.7911	30.5351
270.4011	30.4755
269.705	30.476
268.3171	30.3557
267.6231	30.2955
266.927	30.2961
266.9503	29.6294
265.5623	29.5091
264.8705	29.3885
263.4825	29.2682
262.7907	29.1475
261.4112	28.7849
260.7299	28.3611
259.3757	27.2711
258.686	27.0898
258.7239	25.9989
257.3487	25.515
256.68	24.7276
255.9882	24.6069
255.3237	23.6983
254.6572	22.8502
253.9674	22.6689
253.9885	22.0628
252.6385	20.8517
251.9487	20.6703
250.5819	19.944
249.8986	19.5809
248.5128	19.4
248.5339	18.794
247.842	18.6732
247.8547	18.3096
246.4687	18.1288
245.777	18.008
245.8044	17.2201
244.4144	17.1605
243.7225	17.0398
243.7351	16.6761
243.752	16.1913
242.3704	15.8892
241.6764	15.8291
240.991	15.5266
239.5988	15.5276
238.9048	15.4674
239.5967	15.5882
238.9005	15.5887
237.5085	15.5896
236.8103	15.6507
235.4139	15.7729
234.7158	15.834
233.3235	15.835
232.6275	15.8355
231.9272	15.9572
230.5351	15.9582
229.8327	16.1405
228.4279	16.5051
227.7191	16.8693
226.3165	17.1733
225.6162	17.295
224.918	17.3561
223.5173	17.5995
223.5027	18.0238
222.8024	18.1455
221.4039	18.3283
220.7057	18.3894
219.3051	18.6328
218.609	18.6333
217.913	18.6338
216.5187	18.6954
215.8248	18.6353
214.4325	18.6362
213.7365	18.6368
212.3486	18.5165
211.6545	18.4564
210.9607	18.3963
209.5706	18.3367
208.8788	18.2159
207.5141	17.429
206.8201	17.3689
205.4533	16.6425
204.7677	16.3401
203.4009	15.6138
202.7154	15.3112
201.3401	14.8273
200.6482	14.7066
199.9647	14.3435
198.5854	13.9808
197.8935	13.8601
196.5246	13.1944
195.8306	13.1343
194.4426	13.014
193.7593	12.6509
192.3734	12.47
191.6858	12.2281
190.9939	12.1074
189.608	11.9264
188.9121	11.927
187.5241	11.8068
187.5199	11.928
186.8237	11.9285
185.4296	11.9901
184.7335	11.9906
183.3414	11.9916
182.6432	12.0527
181.9471	12.0532
180.5529	12.1148
179.8568	12.1153
178.4625	12.1768
177.7664	12.1773
176.3721	12.2389
175.6761	12.2394
174.98	12.2399
173.5878	12.2409
172.8918	12.2414
171.4997	12.2424
170.8035	12.2429
169.4094	12.3045
168.7112	12.3656
167.3148	12.4878
166.6187	12.4882
165.9205	12.5493
164.5263	12.6109
163.8281	12.672
162.4318	12.7942
161.7315	12.9159
160.3372	12.9775
159.639	13.0386
158.9407	13.0997
157.5445	13.2219
156.8484	13.2224
155.452	13.3446
154.756	13.3451
153.3617	13.4067
152.6635	13.4678
151.9675	13.4683
150.5732	13.5299
149.8771	13.5304
148.4828	13.592
147.7868	13.5925
146.3947	13.5935
145.6985	13.5939
144.3086	13.5343
143.6125	13.5348
142.9226	13.3535
141.5369	13.1727
140.843	13.1125
139.455	12.9923
138.759	12.9928
139.4592	12.8711
138.7652	12.811
137.3626	13.115
136.6623	13.2367
135.9578	13.4796
134.5488	13.9655
133.8506	14.0266
132.4521	14.2094
131.7539	14.2705
130.347	14.6957
129.6446	14.878
128.9443	14.9997
127.5459	15.1825
126.8456	15.3043
125.445	15.5476
124.7447	15.6694
123.3441	15.9127
122.6438	16.0345
121.9477	16.035
120.5387	16.5208
119.8384	16.6425
118.4378	16.886
117.7397	16.9471
116.3412	17.1299
115.643	17.191
114.9447	17.2521
113.5464	17.4349
