Ma	percentO2
564.4813	20.5706
563.7831	20.6317
562.3889	20.6933
561.6928	20.6938
560.9946	20.7549
559.5981	20.8771
558.9022	20.8775
557.5079	20.9391
556.8096	21.0002
555.4155	21.0618
554.7194	21.0623
553.3252	21.1239
552.627	21.185
551.9287	21.2461
550.5345	21.3077
549.8385	21.3082
548.4421	21.4304
547.7439	21.4915
546.3497	21.5531
545.6536	21.5535
544.9554	21.6147
543.5612	21.6763
542.863	21.7374
541.4666	21.8596
540.7705	21.8601
539.3763	21.9217
538.6781	21.9828
537.9799	22.0439
536.5857	22.1054
535.8875	22.1665
534.4932	22.2281
533.7971	22.2286
532.4029	22.2902
531.7046	22.3513
530.3105	22.4129
529.6143	22.4134
528.9162	22.4745
527.5241	22.4755
526.8279	22.476
525.4379	22.4163
524.7419	22.4168
523.3497	22.4178
522.6537	22.4183
521.9576	22.4188
520.5675	22.3592
519.8715	22.3597
518.4793	22.3607
517.7833	22.3612
516.3932	22.3014
515.6971	22.302
514.305	22.303
513.6089	22.3035
512.915	22.2434
511.5228	22.2444
510.8267	22.2449
509.4346	22.2459
508.7406	22.1857
507.3485	22.1867
506.6524	22.1872
505.9585	22.1271
504.5663	22.128
503.8702	22.1286
502.4802	22.069
501.7841	22.0694
500.3941	22.0098
499.698	22.0103
498.3059	22.0113
497.6098	22.0118
496.9137	22.0123
495.5237	21.9527
494.8276	21.9532
493.4355	21.9541
492.7415	21.894
491.3494	21.895
490.6533	21.8955
489.9572	21.896
488.5693	21.7758
487.8774	21.655
486.4916	21.4742
485.7976	21.4141
484.4139	21.1726
483.72	21.1125
482.3342	20.9317
481.6402	20.8716
480.9483	20.7508
479.5625	20.5699
478.8686	20.5099
477.4827	20.3291
476.7909	20.2083
475.4051	20.0275
474.7111	19.9674
473.3253	19.7865
472.6334	19.6658
471.9416	19.5451
470.5558	19.3643
469.8618	19.3041
468.476	19.1233
467.7841	19.0026
466.3982	18.8216
465.7044	18.7616
464.3143	18.702
463.6139	18.8237
462.9158	18.8848
461.5152	19.1282
460.815	19.2499
459.4165	19.4327
458.7162	19.5544
457.3176	19.7372
456.6174	19.859
455.9171	19.9807
454.5187	20.1635
453.8184	20.2852
452.4178	20.5286
451.7175	20.6503
450.3106	21.0755
449.6124	21.1366
448.9121	21.2583
447.5135	21.4412
446.8134	21.5629
445.4128	21.8063
444.7146	21.8674
443.314	22.1108
442.6158	22.1719
441.9155	22.2936
440.515	22.537
439.8168	22.5981
438.4162	22.8415
437.7138	23.0238
436.3153	23.2066
435.615	23.3284
434.9146	23.4501
433.5184	23.5723
432.8202	23.6334
431.4154	23.998
430.7172	24.0591
429.3166	24.3025
428.6183	24.3636
427.9181	24.4853
426.5175	24.7287
425.8194	24.7898
424.4188	25.0332
423.7206	25.0943
422.32	25.3378
421.6197	25.4595
420.9216	25.5206
419.521	25.764
418.8228	25.8251
417.4285	25.8867
416.7304	25.9478
415.3382	25.9487
414.6421	25.9492
413.9461	25.9497
412.5539	25.9506
411.8578	25.9512
410.4657	25.9522
409.7696	25.9527
408.3775	25.9537
407.6793	26.0148
406.9832	26.0153
405.5953	25.895
404.9056	25.7137
403.5218	25.4723
402.8321	25.2909
401.4526	24.9283
400.7629	24.7469
399.3813	24.4449
398.6915	24.2636
397.3163	23.7797
396.6223	23.7196
395.9367	23.417
394.5552	23.115
393.8675	22.873
392.4817	22.6922
391.7983	22.329
390.4125	22.1482
389.729	21.785
388.3475	21.483
387.6556	21.3623
386.9659	21.1809
385.5864	20.8183
384.8944	20.6975
383.5129	20.3955
382.8232	20.2142
381.4479	19.7303
380.756	19.6096
379.3723	19.3681
378.6825	19.1868
377.9907	19.0661
376.6049	18.8852
375.9066	18.9463
374.5146	18.9473
373.8185	18.9478
372.4243	19.0094
371.7282	19.0099
370.3338	19.0715
369.6379	19.072
368.9418	19.0725
367.5474	19.1341
366.8515	19.1345
365.4572	19.1961
364.761	19.1966
363.3606	19.44
362.6602	19.5617
361.9579	19.7441
360.5552	20.0481
359.8549	20.1698
358.4543	20.4132
357.7519	20.5955
356.3492	20.8996
355.6489	21.0213
354.9423	21.3248
353.5375	21.6894
352.8372	21.8111
351.4324	22.1758
350.73	22.358
349.3273	22.6621
348.6249	22.8444
347.9183	23.1479
346.5198	23.3307
345.8174	23.5131
344.4147	23.8171
343.7081	24.1206
342.3075	24.3639
341.6072	24.4857
340.9048	24.668
339.5021	24.9721
338.8018	25.0937
337.3991	25.3978
336.6989	25.5194
335.9965	25.7018
334.5917	26.0665
333.8914	26.1882
332.4887	26.4922
331.7884	26.6139
330.3815	27.0391
329.6833	27.1002
328.9809	27.2825
327.5782	27.5866
326.8716	27.8901
325.471	28.1335
324.7707	28.2551
323.3679	28.5592
322.6656	28.7415
321.9653	28.8633
320.5626	29.1673
319.8622	29.289
318.4596	29.593
317.7572	29.7753
316.3567	30.0187
315.6543	30.2011
314.954	30.3228
313.5449	30.8086
312.8447	30.9303
311.442	31.2343
310.7417	31.3559
309.339	31.6601
308.6387	31.7818
307.9363	31.9641
306.5335	32.2681
305.8291	32.511
304.4285	32.7544
303.7261	32.9367
302.3234	33.2408
301.621	33.4231
300.9228	33.4842
299.5201	33.7882
298.8176	33.9705
297.4171	34.2139
296.7168	34.3357
295.3184	34.5185
294.6181	34.6402
293.9178	34.7619
292.5213	34.8841
291.8254	34.8846
290.4332	34.8856
289.737	34.886
288.3429	34.9476
287.6468	34.9481
286.9506	34.9485
285.5586	34.9496
284.8625	34.9501
283.4704	34.951
282.7743	34.9516
281.3801	35.0132
280.684	35.0137
279.9879	35.0141
278.5958	35.0151
277.8997	35.0156
276.5074	35.0166
275.8115	35.0171
274.4193	35.0181
273.7233	35.0186
272.3311	35.0196
271.635	35.0201
270.939	35.0205
269.5468	35.0215
268.8529	34.9614
267.4607	34.9624
266.7646	34.9628
265.3725	34.9639
264.6764	34.9644
263.9803	34.9649
262.5882	34.9658
261.8921	34.9663
260.5	34.9673
259.8039	34.9678
258.4139	34.9082
257.722	34.7875
256.3362	34.6066
255.6442	34.4859
254.9504	34.4258
253.5625	34.3056
252.8685	34.2454
251.4974	33.6404
250.8077	33.459
249.4365	32.8538
248.749	32.612
247.3758	32.0675
246.6882	31.8256
245.3235	31.0387
244.6358	30.7967
243.9482	30.5548
242.5772	29.9497
241.8895	29.7078
240.5164	29.1633
239.8266	28.9819
238.4556	28.3768
237.7679	28.1349
236.3969	27.5298
235.7071	27.3485
234.3361	26.7433
233.6484	26.5015
232.9607	26.2595
231.5813	25.8969
230.8979	25.5337
229.5247	24.9891
228.8434	24.5655
227.466	24.1421
226.7847	23.7184
225.4095	23.2346
224.7218	22.9926
223.3445	22.5694
222.6589	22.2668
221.9713	22.0249
220.596	21.541
219.9062	21.3597
218.531	20.8758
217.8434	20.6338
216.4533	20.5742
215.7572	20.5747
214.3651	20.5756
213.669	20.5762
212.9729	20.5767
211.5808	20.5777
210.8848	20.5782
209.4926	20.5791
208.7965	20.5796
207.4043	20.5806
206.7083	20.5811
205.3162	20.5821
204.62	20.5826
203.924	20.5831
202.5319	20.584
201.8357	20.5846
200.4437	20.5855
199.7476	20.5859
198.3554	20.587
197.6594	20.5875
196.9633	20.588
195.5711	20.589
194.8751	20.5895
193.4828	20.5905
192.7869	20.591
191.3947	20.5918
190.6985	20.5924
189.3065	20.5934
188.6104	20.5939
187.9143	20.5944
186.5222	20.5954
185.8303	20.4747
184.4551	19.9908
183.7673	19.7489
182.3901	19.3256
181.7024	19.0836
180.3272	18.5998
179.6395	18.3578
178.9519	18.1159
177.5745	17.6926
176.8869	17.4506
175.5116	16.9668
174.8239	16.7248
173.4381	16.544
172.7379	16.6657
171.3394	16.8485
170.637	17.0309
169.9367	17.1526
168.5382	17.3354
167.8357	17.5177
166.4373	17.7005
165.737	17.8222
164.3386	18.005
163.6362	18.1873
162.9359	18.309
161.5352	18.5524
160.835	18.6742
159.4323	18.9782
158.7341	19.0393
157.3314	19.3433
156.6311	19.465
155.9308	19.5867
154.5282	19.8907
153.8279	20.0124
152.4273	20.2559
151.7269	20.3776
150.3264	20.621
149.6303	20.6215
148.9322	20.6825
147.5442	20.5623
146.8502	20.5022
145.4623	20.382
144.7705	20.2612
143.3805	20.2017
142.6865	20.1415
141.9925	20.0814
140.6046	19.9612
139.9127	19.8405
138.5248	19.7202
137.8309	19.6601
136.4429	19.5399
135.749	19.4798
134.361	19.3595
133.6671	19.2993
132.9731	19.2393
131.5852	19.1191
130.8933	18.9984
129.5053	18.878
128.8114	18.818
127.4235	18.6978
126.7274	18.6983
125.3416	18.5173
124.6434	18.5785
123.9474	18.579
122.551	18.7012
121.8528	18.7623
120.4586	18.8239
119.7604	18.885
118.366	18.9466
117.6658	19.0683
116.9698	19.0688
115.5734	19.191
114.8752	19.2521
113.4809	19.3136
112.7828	19.3748
111.3885	19.4364
110.6903	19.4975
109.9922	19.5586
108.5979	19.6202
107.8997	19.6813
106.5034	19.8035
105.8073	19.804
104.4109	19.9262
103.7127	19.9872
102.3164	20.1095
101.6202	20.11
100.9221	20.1711
99.5258	20.2933
98.8296	20.2938
98.1315	20.3549
97.4333	20.416
96.7351	20.4771
96.0391	20.4775
95.3409	20.5386
94.6427	20.5997
93.9445	20.6608
93.2484	20.6613
92.5503	20.7224
91.8521	20.7835
91.1539	20.8446
90.4578	20.8451
89.7596	20.9062
89.0615	20.9673
88.3633	21.0284
87.6651	21.0895
86.9689	21.09
86.2708	21.1511
85.5727	21.2122
84.8745	21.2732
84.1784	21.2738
83.4802	21.3349
82.782	21.396
82.0839	21.4571
81.3878	21.4576
80.6896	21.5187
79.9914	21.5798
79.2932	21.6409
78.5972	21.6414
77.8969	21.7631
77.2008	21.7635
76.5026	21.8247
75.8044	21.8858
75.1063	21.9468
74.4102	21.9474
73.712	22.0085
73.0138	22.0695
72.3155	22.1307
71.6196	22.1312
70.9214	22.1923
70.2232	22.2534
69.525	22.3145
68.8289	22.315
68.1308	22.3761
67.4325	22.4372
66.7344	22.4983
66.0383	22.4988
65.3401	22.5598
64.642	22.621
63.9438	22.6821
63.2477	22.6825
62.5474	22.8043
61.8513	22.8048
61.1532	22.8659
60.4571	22.8662
59.7568	22.9881
59.0607	22.9885
58.3625	23.0496
57.6665	23.0501
56.9662	23.1718
56.2701	23.1723
55.5718	23.2334
54.8737	23.2945
54.1756	23.3556
53.4795	23.3561
52.7812	23.4172
52.0831	23.4783
51.3849	23.5394
50.6888	23.5399
49.9907	23.601
49.2925	23.6621
48.5943	23.7231
47.8982	23.7237
47.2001	23.7848
47.198	23.8454
46.5019	23.8458
45.8037	23.907
45.1055	23.9681
44.4094	23.9686
43.7113	24.0297
43.0131	24.0908
42.3149	24.1519
41.6188	24.1524
40.9205	24.2135
40.2225	24.2746
39.5243	24.3357
38.8282	24.3362
38.13	24.3973
37.4318	24.4584
36.7337	24.5194
36.0376	24.52
35.3373	24.6417
34.6412	24.6421
33.943	24.7033
33.2449	24.7644
32.5467	24.8255
31.8506	24.826
31.1524	24.8871
