# J. Coll et al (2004) Spear fishing in the Balearic Islands (west central Mediterranean): species affected and catch evolution during the period 1975-2001. Fisheries Research 70: 97-111.
#Table 2
#Mean value and standard deviation of the number of fish (MNFP) and catch (MWC) by a participant and the mean weight of fish (MWF) from 1975 to 2000 for the first ten classifieds of each competition
Year	MNFP	MNFP_std_dev	MWC_kg	MWC_kg_std_dev	MWF_kg	MWF_kg_std_dev	n
1975	16.46	9.44	19.07	15.37	1.24	0.81	50
1977	8.34	3.63	8.19	10.09	1.01	0.98	70
1980	13.16	6.23	12.76	8.69	1.12	0.91	50
1985	14.00	7.56	11.88	7.80	0.92	0.66	50
1986	11.90	6.41	10.65	6.05	1.09	0.85	40
1987	9.96	5.04	9.11	5.15	1.06	0.80	50
1988	10.98	5.02	8.73	5.38	0.86	0.68	50
1989	11.18	5.86	7.23	4.11	0.65	0.20	40
1990	8.25	4.93	6.70	5.12	0.80	0.41	20
1991	10.57	4.61	8.75	6.17	0.85	0.67	30
1992	9.90	4.69	7.82	5.97	0.79	0.33	50
1993	7.76	4.52	5.61	5.32	0.72	0.40	80
1994	11.12	7.27	8.84	13.08	0.78	0.76	70
1995	14.78	12.24	7.37	6.17	0.52	0.13	50
1996	13.65	11.48	6.84	5.74	0.57	0.20	40
1997	13.55	6.85	9.85	6.80	0.77	0.42	80
1998	11.18	5.59	6.90	4.14	0.65	0.41	50
1999	12.47	6.34	6.92	4.13	0.61	0.55	30
2000	8.95	6.37	5.15	4.87	0.64	0.26	50
