year	USA	Canada	USSR	other	total	source
1880	54063	NA	NA	NA	54063	digitized
1887	28962	NA	NA	NA	28962	digitized
1888	22140	NA	NA	NA	22140	digitized
1889	19437	NA	NA	NA	19437	digitized
1895	13516	NA	NA	NA	13516	digitized
1897	10298	NA	NA	NA	10298	digitized
1898	14674	NA	NA	NA	14674	digitized
1902	24843	NA	NA	NA	24843	digitized
1905	20724	NA	NA	NA	20724	digitized
1919	20209	NA	NA	NA	20209	digitized
1928	19566	NA	NA	NA	19566	digitized
1929	19437	NA	NA	NA	19437	digitized
1931	18665	NA	NA	NA	18665	digitized
1932	17377	NA	NA	NA	17377	digitized
1933	18407	NA	NA	NA	18407	digitized
1935	16476	NA	NA	NA	16476	digitized
1937	10555	NA	NA	NA	10555	digitized
1938	8753	NA	NA	NA	8753	digitized
1943	6179	NA	NA	NA	6179	digitized
1944	5921	NA	NA	NA	5921	digitized
1945	4377	NA	NA	NA	4377	digitized
1946	5149	NA	NA	NA	5149	digitized
1948	4763	NA	NA	NA	4763	digitized
1949	4634	NA	NA	NA	4634	digitized
1960	3448	129	NA	NA	3577	Mayo2008
1961	3216	18	NA	NA	3234	Mayo2008
1962	2989	83	NA	NA	3072	Mayo2008
1963	2595	3	133	NA	2731	Mayo2008
1964	3226	25	NA	NA	3251	Mayo2008
1965	3780	148	NA	NA	3928	Mayo2008
1966	4008	384	NA	NA	4392	Mayo2008
1967	5676	297	NA	NA	5973	Mayo2008
1968	6360	61	NA	NA	6421	Mayo2008
1969	8157	59	NA	268	8484	Mayo2008
1970	7812	26	NA	423	8261	Mayo2008
1971	7380	119	NA	163	7662	Mayo2008
1972	6776	53	11	77	6917	Mayo2008
1973	6069	68	NA	9	6146	Mayo2008
1974	7639	120	NA	5	7764	Mayo2008
1975	8903	86	NA	26	9015	Mayo2008
1976	10172	16	NA	NA	10188	Mayo2008
1977	12426	NA	NA	NA	12426	Mayo2008
1978	12426	NA	NA	NA	12426	Mayo2008
1979	11680	NA	NA	NA	11680	Mayo2008
1980	13528	NA	NA	NA	13528	Mayo2008
1981	12534	NA	NA	NA	12534	Mayo2008
1982	13582	NA	NA	NA	13582	Mayo2008
1983	13981	NA	NA	NA	13981	Mayo2008
1984	10806	NA	NA	NA	10806	Mayo2008
1985	10693	NA	NA	NA	10693	Mayo2008
1986	9664	NA	NA	NA	9664	Mayo2008
1987	7527	NA	NA	NA	7527	Mayo2008
1988	7958	NA	NA	NA	7958	Mayo2008
1989	10397	NA	NA	NA	10397	Mayo2008
1990	15154	NA	NA	NA	15154	Mayo2008
1991	17781	NA	NA	NA	17781	Mayo2008
1992	10891	NA	NA	NA	10891	Mayo2008
1993	8287	NA	NA	NA	8287	Mayo2008
1994	7994	NA	NA	NA	7994	Mayo2008
1995	6536	NA	NA	NA	6536	Mayo2008
1996	6976	NA	NA	NA	6976	Mayo2008
1997	5420	NA	NA	NA	5420	Mayo2008
1998	4045	NA	NA	NA	4045	Mayo2008
1999	1380	NA	NA	NA	1380	Mayo2008
2000	3721	NA	NA	NA	3721	Mayo2008
2001	4280	NA	NA	NA	4280	Mayo2008
2002	3604	NA	NA	NA	3604	Mayo2008
2003	3851	NA	NA	NA	3851	Mayo2008
2004	3776	NA	NA	NA	3776	Mayo2008
2005	3525	NA	NA	NA	3525	Mayo2008
2006	3028	NA	NA	NA	3028	Mayo2008
2007	3989	NA	NA	NA	3989	Mayo2008
