usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1348927455,09/29/2012 14:04:15,2,docr,2.58,0,16.194,0,32.966,0,5.323,0,70.99,0,1508.074,0,24.1406,0,36.599974,2,-122.150043,2
1348927470,09/29/2012 14:04:30,2,docr,2.48,0,16.554,0,32.861,0,4.873,0,76.8,2,1509.056,0,23.9777,0,36.599974,2,-122.150043,2
1348927485,09/29/2012 14:04:45,2,docr,2.48,2,16.903,2,31.626,2,4.998,2,74.27,0,1508.703,2,22.9499,2,36.599974,2,-122.150043,2
1348927500,09/29/2012 14:05:00,2,docr,2.48,2,15.726,2,33.156,2,5.313,2,,0,1506.841,2,24.392,2,36.599974,2,-122.150043,2
1348927515,09/29/2012 14:05:15,2,docr,2.48,2,15.704,2,33.146,2,5.48,2,39.79,0,1506.761,2,24.3892,2,36.599974,2,-122.150043,2
1348927530,09/29/2012 14:05:30,2,docr,2.88,2,15.697,2,33.161,2,5.496,2,78.48,0,1506.763,2,24.4023,2,36.599974,2,-122.150043,2
1348927545,09/29/2012 14:05:45,2,docr,7.84,2,15.699,2,33.166,2,5.535,2,84.59,2,1506.858,2,24.4059,2,36.599974,2,-122.150043,2
1348927560,09/29/2012 14:06:00,2,docr,12.31,2,15.655,2,33.159,2,5.553,2,84.54,2,1506.787,2,24.4104,2,36.599974,2,-122.150043,2
1348927575,09/29/2012 14:06:15,2,docr,14.49,2,15.628,2,33.16,2,5.556,2,84.41,2,1506.741,2,24.4173,2,36.599974,2,-122.150043,2
1348927590,09/29/2012 14:06:30,2,docr,16.78,2,15.621,2,33.163,2,5.559,2,84.37,2,1506.76,2,24.4212,2,36.599974,2,-122.150043,2
1348927605,09/29/2012 14:06:45,2,docr,18.46,2,15.615,2,33.162,2,5.555,2,84.5,2,1506.769,2,24.4218,2,36.599974,2,-122.150043,2
1348927620,09/29/2012 14:07:00,2,docr,22.14,2,15.421,2,33.184,2,5.565,2,84.35,2,1506.247,2,24.4818,2,36.599974,2,-122.150043,2
1348927635,09/29/2012 14:07:15,2,docr,25.61,2,15.023,2,33.34,2,5.567,2,84.06,2,1505.23,2,24.689,2,36.599974,2,-122.150043,2
1348927650,09/29/2012 14:07:30,2,docr,25.31,2,15.01,2,33.35,2,5.545,2,84.09,2,1505.195,2,24.6995,2,36.599974,2,-122.150043,2
1348927665,09/29/2012 14:07:45,2,docr,28.09,2,14.904,2,33.362,2,5.531,2,84.19,2,1504.919,2,24.7318,2,36.599974,2,-122.150043,2
1348927680,09/29/2012 14:08:00,2,docr,30.37,2,14.702,2,33.369,2,5.512,2,84.35,2,1504.321,2,24.7806,2,36.599974,2,-122.150043,2
1348927695,09/29/2012 14:08:15,2,docr,32.76,2,14.548,2,33.438,2,5.449,2,84.69,2,1503.947,2,24.8668,2,36.599974,2,-122.150043,2
1348927710,09/29/2012 14:08:30,2,docr,35.14,2,14.227,2,33.455,2,5.318,2,85.23,2,1502.972,2,24.9477,2,36.599974,2,-122.150043,2
1348927725,09/29/2012 14:08:45,2,docr,37.12,0,13.908,0,33.434,0,5.235,0,85.58,2,1501.943,0,24.9979,0,36.599974,2,-122.150043,2
1348927740,09/29/2012 14:09:00,2,docr,37.52,0,13.957,0,33.43,0,5.244,0,85.58,2,1502.105,0,24.9847,0,36.599974,2,-122.150043,2
1348927755,09/29/2012 14:09:15,2,docr,39.31,0,12.994,0,33.203,0,5.321,0,85.6,2,1498.687,0,25.0038,0,36.599974,2,-122.150043,2
1348927770,09/29/2012 14:09:30,2,docr,45.46,0,11.596,0,33.173,0,5.312,0,85.92,2,1493.995,0,25.2469,0,36.599974,2,-122.150043,2
1348927785,09/29/2012 14:09:45,2,docr,50.52,0,10.81,0,33.246,0,4.818,0,85.94,2,1491.416,0,25.4449,0,36.599974,2,-122.150043,2
1348927800,09/29/2012 14:10:00,2,docr,54.99,0,10.393,0,33.271,0,4.878,0,86.19,2,1490.039,0,25.5369,0,36.599974,2,-122.150043,2
1348927815,09/29/2012 14:10:15,2,docr,59.55,2,10.33,2,33.37,2,4.693,2,86.3,2,1490.01,2,25.625,2,36.599974,2,-122.150043,2
1348927830,09/29/2012 14:10:30,2,docr,64.32,2,10.141,2,33.372,2,4.62,2,86.31,2,1489.414,2,25.6587,2,36.599974,2,-122.150043,2
1348927845,09/29/2012 14:10:45,2,docr,69.08,2,10.3,2,33.556,2,4.208,2,86.36,2,1490.286,2,25.7753,2,36.599974,2,-122.150043,2
1348927860,09/29/2012 14:11:00,2,docr,73.94,2,10.417,2,33.679,2,3.339,2,86.3,2,1490.934,2,25.8513,2,36.599974,2,-122.150043,2
1348927875,09/29/2012 14:11:15,2,docr,78.9,2,10.311,2,33.688,2,3.136,2,86.28,2,1490.649,2,25.8766,2,36.599974,2,-122.150043,2
1348927890,09/29/2012 14:11:30,2,docr,83.87,2,10.022,2,33.705,2,3.151,2,86.34,2,1489.715,2,25.9391,2,36.599974,2,-122.150043,2
1348927905,09/29/2012 14:11:45,2,docr,90.51,2,9.827,2,33.753,2,3.11,2,86.36,2,1489.18,2,26.0094,2,36.599974,2,-122.150043,2
1348927920,09/29/2012 14:12:00,2,docr,100.04,2,9.723,2,33.849,2,2.653,2,86.29,2,1489.079,2,26.1018,2,36.599974,2,-122.150043,2
1348927935,09/29/2012 14:12:15,2,docr,109.86,2,9.621,2,33.884,2,2.426,2,86.34,2,1488.914,2,26.1462,2,36.599974,2,-122.150043,2
1348927950,09/29/2012 14:12:30,2,docr,119.09,2,9.575,2,33.925,2,2.266,2,86.32,2,1488.95,2,26.186,2,36.599974,2,-122.150043,2
1348927965,09/29/2012 14:12:45,2,docr,126.13,2,9.516,2,33.953,2,2.15,2,86.19,2,1488.886,2,26.2177,2,36.599974,2,-122.150043,2
1348927980,09/29/2012 14:13:00,2,docr,131.99,2,9.484,2,33.97,2,2.077,2,86.14,2,1488.888,2,26.2363,2,36.599974,2,-122.150043,2
1348927995,09/29/2012 14:13:15,2,docr,137.94,2,9.421,2,33.988,2,1.998,2,86.27,2,1488.779,2,26.2608,2,36.599974,2,-122.150043,2
