day	month	light_level	time	depth_m	Steenstrupia_rubra	Slabberia_halterata	Stomotoca_dinema	Turris_pileata	Bougainvillea_sp	Obelia_sp	Phialidium_sp	Cosmetira_pilosella	Saphenia_gracilis	Cyanea_capillata	Aurelia_aurita	Pleurobrachia_sp	Peachia_sp--larva	Arachnactis--larva	Tomopteris_helgolandica	Poecilochaetus--larva	Sagitta_bipunctata	Calanus_finmarchicus	Anomalocera_patersonii	Candacia_armata	Metridia_lucens	Caligus_rapax	Mysid_sp	Anchialus_agilis	Nyctiphanes_couchii	Cumacea	Hyperiid_sp	Apherusa_sp	Amphipoda	Leander_sp--larvae	Pandalid--larvae	Alpheus--larvae	Spirontocaris--larvae	Crangonid--larvae	Pontophilus--larvae	Homarus--larvae	Palinurus--phyllosoma	Galatheid--larvae	Galatheid--post-larvae	Upogebia--larvae	Upogebia--post-larvae	Callianassa--larvae	Axius--larvae	Pagurid--larvae	Pagurid--glaucothoe	Porcellana--zoea	Ebalia_sp--zoea	Crab--zoeas	Crab--megalopas	Echniospira--larvae	Limacina_retroversa	Tornaria--larvae	total_reported
17	June	daylight	16:19	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	62	0	496	361	0	0	0	965
17	June	daylight	16:00	4.5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	410	1	0	0	1	0	0	0	0	0	20	0	2	10	0	0	0	0	0	2	60	10	110	0	0	0	0	0	710	0	2280	260	0	0	0	3892
17	June	daylight	15:40	16.2	0	0	0	15	0	0	0	2	0	0	0	4	0	0	1	0	10	870	2	0	10	6	0	0	0	0	0	50	0	3	150	0	0	0	0	0	0	290	10	580	0	0	0	50	0	1090	0	3080	210	20	10	0	6463
17	June	daylight	15:21	23.4	0	0	0	8	0	0	0	7	0	1	0	5	0	0	1	0	20	1490	7	60	0	5	0	0	1	0	0	90	0	1	190	0	0	0	0	0	3	390	0	760	0	10	0	10	0	1550	0	2740	270	10	34	0	7663
17	June	daylight	14:58	29.8	0	0	1	25	0	20	20	1217	0	2	0	0	0	0	1	1	100	2140	3	40	0	7	1	0	1	0	1	90	0	0	332	0	0	10	1	0	1	670	30	1700	0	10	1	80	1	2870	0	3640	470	10	10	0	13506
17	June	daylight	14:35	48.8	10	0	0	7	0	10	0	79	0	0	0	1	0	0	0	0	10	970	1	60	0	0	4	0	2	0	0	40	0	0	123	0	20	20	1	0	0	130	30	230	0	10	0	40	0	830	0	1180	410	0	0	0	4218
17	June	dusk	21:13	0.0	0	0	0	117	0	0	0	0	0	0	1	0	0	0	21	0	70	200	0	10	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	52	40	0	30	0	10	0	0	0	180	0	1760	0	20	0	0	2520
17	June	dusk	20:53	5.4	0	0	0	55	0	0	20	0	0	0	0	0	0	0	11	1	60	600	2	0	0	1	0	0	0	0	0	50	0	2	10	1	0	0	0	0	100	80	0	100	0	50	0	10	0	330	0	2180	0	0	0	0	3663
17	June	dusk	20:32	14.0	0	0	0	16	10	0	10	0	0	0	0	0	0	0	4	0	40	1010	2	0	0	1	0	0	0	0	0	120	0	4	51	0	0	10	0	0	72	140	20	280	0	30	0	60	0	380	0	2710	50	10	0	0	5030
17	June	dusk	20:13	24.8	0	0	0	18	10	0	20	1	2	0	0	0	0	0	12	1	20	690	0	80	0	0	0	0	0	0	0	300	0	0	64	0	0	0	1	0	15	210	0	250	0	30	0	50	0	450	0	2910	90	10	4	0	5238
17	June	dusk	19:50	31.3	5	0	0	12	80	20	100	251	37	0	1	2	1	1	10	3	60	640	0	220	0	2	3	0	1	0	1	880	0	5	325	0	0	70	5	0	7	360	70	170	0	0	0	260	4	380	0	6090	1100	0	0	0	11176
17	June	dusk	19:27	38.6	5	0	0	2	20	20	110	36	6	0	0	6	0	0	2	1	30	510	0	110	0	1	7	0	2	0	0	210	0	1	311	0	10	40	2	1	3	380	50	170	1	20	0	240	5	380	0	3590	1480	10	1	0	7773
18	June	dark	00:36	0.0	2	0	0	1	10	0	190	20	25	0	0	0	0	0	24	2	960	1330	0	730	10	2	21	3	2	4	0	240	0	1	20	0	0	50	0	0	12	350	20	400	0	50	0	140	2	5280	0	5370	1740	0	0	0	17011
18	June	dark	00:15	11.2	0	0	0	8	30	0	120	53	15	0	1	0	0	0	99	2	860	2850	1	150	80	2	68	11	9	1	0	190	1	2	181	0	0	93	0	0	44	460	70	170	0	10	1	210	10	150	0	7800	450	0	0	0	13202
17	June	dark	23:55	23.0	0	0	0	3	60	0	150	33	16	1	0	0	0	0	63	1	610	3520	0	120	30	3	84	8	7	1	0	150	1	1	202	0	0	86	1	0	34	320	70	220	0	0	0	280	14	320	0	5830	320	0	0	0	12559
17	June	dark	23:34	26.0	10	0	0	17	20	0	120	52	32	0	0	1	0	0	12	0	350	1030	1	140	30	1	54	14	2	8	1	140	12	0	110	0	0	123	0	0	7	170	60	170	1	10	0	150	31	250	0	1590	180	20	0	0	4919
17	June	dark	23:11	29.0	12	0	0	5	40	0	140	27	9	0	0	0	0	0	13	0	240	1050	0	190	20	3	153	14	2	10	1	60	14	0	80	0	0	105	2	0	5	220	70	130	0	20	0	140	21	930	0	1480	310	0	0	0	5516
17	June	dark	22:39	49.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389
18	June	dawn	04:19	0.0	0	0	0	28	1	1	6	0	0	1	0	0	0	0	4	0	4	21	0	2	0	1	0	0	0	0	0	10	0	3	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	11	0	133	58	1	0	0	290
18	June	dawn	03:59	6.0	0	0	0	121	10	0	5	0	1	1	0	0	0	0	39	0	24	110	0	15	0	1	0	0	0	0	0	15	0	4	0	0	0	0	0	0	3	0	0	25	0	0	0	5	0	145	0	410	0	0	0	0	934
18	June	dawn	03:40	13.0	0	0	0	28	35	10	55	19	0	0	0	0	0	0	32	1	35	235	2	10	0	1	0	0	0	0	0	30	0	2	5	0	0	0	0	0	11	25	0	130	0	15	0	10	0	455	0	820	80	15	0	10	2071
18	June	dawn	03:19	18.0	0	0	0	3	10	0	120	91	2	0	0	0	0	0	100	1	50	480	2	110	20	0	2	0	0	0	0	10	0	0	20	0	0	10	0	1	14	90	0	330	0	20	0	50	1	1540	0	1850	120	0	0	0	5047
18	June	dawn	02:58	26.8	54	0	0	2	50	40	290	66	1	0	1	6	0	0	24	0	29	610	2	80	20	2	45	3	0	0	0	50	0	0	50	1	0	10	1	0	4	380	100	220	2	0	0	140	29	2560	0	2470	320	0	0	0	7662
18	June	dawn	02:36	30.0	7	0	0	5	20	0	20	11	0	0	0	2	1	0	10	0	15	530	1	140	0	7	436	13	0	0	0	90	0	1	140	0	0	66	2	0	11	310	170	230	5	0	1	130	43	3600	0	3350	720	0	0	0	10087
18	June	daylight	09:30	0.0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	47	15	0	0	0	74
18	June	daylight	08:45	3.2	0	0	0	4	0	0	40	0	0	0	0	0	0	0	1	0	6	7	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	4	2	5	0	0	0	0	0	33	0	317	63	0	0	0	485
18	June	daylight	08:27	7.5	0	0	0	15	0	0	50	0	0	1	0	0	0	0	0	0	17	175	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	1	5	0	75	0	0	0	10	0	410	0	665	125	0	0	0	1558
18	June	daylight	08:06	9.9	0	0	0	7	0	0	45	0	1	0	0	0	0	0	0	1	6	285	1	15	0	0	0	0	0	0	0	5	0	4	5	0	0	0	0	0	0	40	0	170	0	0	0	5	0	405	0	390	185	5	0	0	1580
