MYA	WAD
543.7238	19.2216
543.9968	19.1659
544.2698	19.1103
544.5428	19.0547
544.8173	19.0546
545.0903	18.999
545.3633	18.9434
545.6362	18.8878
545.9109	18.8877
546.1838	18.8321
546.4567	18.7765
546.7314	18.7764
547.0044	18.7208
547.2774	18.6651
547.5518	18.6651
547.8249	18.6095
548.0979	18.5537
548.3724	18.5537
548.6454	18.4981
548.9199	18.4981
549.1929	18.4425
549.4659	18.3868
549.7389	18.3312
550.0134	18.3312
550.2864	18.2755
550.5594	18.2199
550.8338	18.2198
551.1069	18.1642
551.3814	18.1642
551.6543	18.1085
551.9274	18.0529
552.2004	17.9973
552.4748	17.9971
552.7479	17.9416
553.0209	17.886
553.2953	17.8859
553.5684	17.8303
553.8414	17.7747
554.1159	17.7746
554.3889	17.7189
554.6635	17.7189
554.9365	17.6633
555.2094	17.6077
555.484	17.6076
555.757	17.552
556.0315	17.5518
556.3045	17.4963
556.5775	17.4407
556.8519	17.4405
557.125	17.385
557.3995	17.3849
557.6724	17.3293
557.9455	17.2737
558.2185	17.2181
558.4929	17.218
558.766	17.1623
559.0405	17.1623
559.3135	17.1067
559.5865	17.0511
559.861	17.051
560.134	16.9954
560.407	16.9397
560.6815	16.9397
560.9545	16.8841
561.2275	16.8284
561.502	16.8284
561.775	16.7727
562.0496	16.7727
562.3226	16.717
562.5956	16.6614
562.87	16.6614
563.1431	16.6058
563.4176	16.6057
563.6905	16.5501
563.9636	16.4944
564.2381	16.4944
564.511	16.4388
564.7856	16.4386
565.0586	16.3831
565.3331	16.383
565.6061	16.3274
565.8791	16.2718
566.1536	16.2717
566.4266	16.2161
566.701	16.216
566.9741	16.1604
567.2471	16.1048
567.5217	16.1047
567.7946	16.0491
568.0692	16.049
568.3422	15.9933
568.6152	15.9378
568.8897	15.9377
569.1627	15.882
569.4372	15.882
569.7102	15.8264
569.9832	15.7708
570.2577	15.7707
570.5322	15.7706
570.8052	15.7149
571.0796	15.7149
571.3527	15.6593
571.6257	15.6037
571.8987	15.5481
572.1732	15.548
572.4462	15.4924
572.7191	15.4368
572.9937	15.4367
573.2667	15.3811
573.5413	15.381
573.8143	15.3254
574.0888	15.3253
574.3618	15.2697
574.6348	15.2141
574.9093	15.214
575.1823	15.1584
575.4567	15.1583
575.7298	15.1027
576.0043	15.1026
576.2772	15.047
576.5518	15.0469
576.8248	14.9912
577.0993	14.9912
577.3723	14.9356
577.6453	14.88
577.9199	14.88
578.1928	14.8243
578.4674	14.8243
578.7404	14.7686
579.0134	14.713
579.2879	14.713
579.5609	14.6573
579.8354	14.6573
580.1084	14.6016
580.3829	14.6016
580.6559	14.546
580.9304	14.5459
581.2034	14.4903
581.4764	14.4346
581.7509	14.4346
582.0239	14.379
582.2984	14.3789
582.5714	14.3233
582.846	14.3232
583.1189	14.2676
583.3919	14.212
583.6665	14.2119
583.9395	14.1562
584.214	14.1562
584.487	14.1006
584.7614	14.1005
585.0345	14.0449
585.3075	13.9893
585.5819	13.9891
585.855	13.9336
586.1295	13.9335
586.4025	13.8779
586.677	13.8778
586.95	13.8222
587.2245	13.8221
587.4975	13.7665
587.7721	13.7665
588.0451	13.7107
588.318	13.6552
588.5926	13.6551
588.8656	13.5995
589.1401	13.5995
589.4131	13.5438
589.6876	13.5438
589.9606	13.4881
590.2351	13.4881
590.5081	13.4325
590.7811	13.3768
591.0556	13.3768
591.3286	13.3212
591.6031	13.3211
591.8761	13.2655
592.1506	13.2654
592.4236	13.2098
592.6982	13.2097
592.9712	13.1541
593.2442	13.0985
593.5187	13.0984
593.7917	13.0428
594.0662	13.0427
594.3392	12.987
594.6122	12.9315
594.8867	12.9314
595.1612	12.9313
595.4342	12.8757
595.7086	12.8756
595.9817	12.8199
596.2547	12.7644
596.5292	12.7643
596.8022	12.7086
597.0768	12.7086
597.3497	12.653
597.6242	12.653
597.8973	12.5973
598.1718	12.5973
598.4447	12.5415
598.7193	12.5415
598.9923	12.486
599.2652	12.4303
599.5398	12.4303
599.8128	12.3747
600.0873	12.3746
600.3603	12.319
600.6348	12.3189
600.9078	12.2633
601.1823	12.2631
601.4553	12.2076
601.7299	12.2075
602.0029	12.1519
602.2774	12.1518
602.5504	12.0962
602.8249	12.0961
603.0979	12.0405
603.3709	11.9849
603.6454	11.9848
603.9184	11.9292
604.1929	11.9291
604.4659	11.8735
604.7404	11.8735
605.0134	11.8178
605.2879	11.8178
605.5609	11.7621
605.8355	11.7621
606.1084	11.7065
606.383	11.7064
606.656	11.6508
606.9304	11.6507
607.2035	11.5951
607.478	11.595
607.751	11.5394
608.0255	11.5393
608.3	11.5393
608.573	11.4836
608.846	11.428
609.1205	11.428
609.3951	11.4279
609.6681	11.3723
609.9409	11.3166
610.2156	11.3166
610.4901	11.3165
610.7631	11.2609
611.0376	11.2608
611.3121	11.2608
611.5851	11.2051
611.8596	11.2051
612.1326	11.1494
612.4072	11.1494
612.4056	11.0937
612.6801	11.0937
612.9546	11.0937
613.2277	11.0381
613.5022	11.038
613.7752	10.9824
614.0497	10.9823
614.3242	10.9823
614.5972	10.9266
614.8717	10.9266
615.1461	10.9264
615.4208	10.9264
615.4192	10.8709
615.6922	10.8153
615.9668	10.8152
616.2398	10.7596
616.5143	10.7595
616.7873	10.7039
617.0603	10.6482
617.3348	10.6482
617.6078	10.5926
617.8822	10.5925
618.1553	10.5369
618.4298	10.5368
618.7027	10.4812
618.9758	10.4256
619.2503	10.4255
619.5248	10.4254
619.7993	10.4254
620.0724	10.3697
620.3469	10.3697
620.6214	10.3696
620.8959	10.3695
621.1689	10.3139
621.4419	10.2583
621.7164	10.2582
621.9909	10.2582
622.2655	10.2581
622.54	10.258
622.813	10.2024
623.0875	10.2024
623.362	10.2023
623.635	10.1467
623.9095	10.1466
624.184	10.1465
624.457	10.0909
624.7316	10.0908
625.0061	10.0908
625.2791	10.0352
625.5535	10.0351
625.8281	10.035
626.1011	9.9794
626.3756	9.9792
626.6486	9.9237
626.9231	9.9236
627.1961	9.8679
627.4707	9.8679
627.7452	9.8679
628.0182	9.8123
628.2927	9.8122
628.5672	9.8121
628.8401	9.7565
629.1147	9.7564
629.3892	9.7564
629.6638	9.7563
629.9383	9.7562
630.2113	9.7006
630.4858	9.7006
630.7603	9.7005
631.0348	9.7004
631.3094	9.7004
631.5838	9.7003
631.8569	9.6447
632.1314	9.6446
632.4059	9.6444
632.6804	9.6444
632.955	9.6444
633.2279	9.5888
633.5025	9.5887
633.777	9.5887
634.0515	9.5886
634.326	9.5885
634.6005	9.5885
634.8751	9.5884
635.1496	9.5883
635.4241	9.5883
635.6971	9.5326
635.9716	9.5326
636.2461	9.5325
636.5207	9.5324
636.7936	9.4768
637.0682	9.4767
637.3427	9.4767
637.6172	9.4766
637.8917	9.4765
638.1647	9.4209
638.4392	9.4209
638.7138	9.4208
638.9883	9.4207
639.2628	9.4207
639.5358	9.365
639.8103	9.365
640.0848	9.3649
640.3594	9.3648
640.6339	9.3648
640.9083	9.3647
641.1829	9.3646
641.4574	9.3646
641.732	9.3645
642.0065	9.3644
642.281	9.3644
642.5554	9.3643
642.83	9.3642
643.1046	9.3642
643.3791	9.3641
643.6521	9.3085
643.9266	9.3084
644.2011	9.3084
644.4756	9.3083
644.7501	9.3082
645.0247	9.3082
645.2992	9.3081
645.5737	9.308
645.8481	9.308
646.1227	9.3079
646.3973	9.3078
646.6718	9.3078
646.9463	9.3077
647.2208	9.3075
647.4953	9.3075
647.7699	9.3075
648.0444	9.3074
648.3189	9.3074
648.5918	9.2517
648.8664	9.2517
649.1409	9.2516
649.4155	9.2515
649.69	9.2515
649.9645	9.2514
650.2389	9.2513
650.5135	9.2513
650.7881	9.2511
651.0626	9.2511
651.3371	9.2511
651.6116	9.251
651.886	9.2509
652.1607	9.2509
652.4352	9.2508
652.7097	9.2507
652.9842	9.2507
653.2587	9.2506
653.5333	9.2505
653.8077	9.2505
654.0823	9.2504
654.3568	9.2503
654.6313	9.2503
654.9059	9.2502
655.1804	9.2501
655.4564	9.3056
655.7309	9.3056
656.0055	9.3054
656.28	9.3054
656.5545	9.3054
656.829	9.3053
657.1051	9.3608
657.3796	9.3607
657.6541	9.3607
657.6556	9.4162
657.9301	9.4161
658.2046	9.4161
658.4792	9.416
658.7537	9.4159
659.0282	9.4159
659.3027	9.4158
659.5773	9.4157
659.8518	9.4157
660.1278	9.4712
660.4022	9.4711
660.6768	9.471
660.9514	9.471
661.2274	9.5265
661.502	9.5264
661.7765	9.5263
662.051	9.5263
662.3255	9.5262
662.6	9.5261
662.8745	9.5261
663.1491	9.526
663.4236	9.5259
663.6981	9.5259
663.9742	9.5813
664.2487	9.5813
664.5232	9.5812
664.7976	9.5811
665.0722	9.5811
665.3468	9.581
665.6213	9.5809
