Ma	WAD
1611.2864	4.2424
1477.109	1.9697
1644.7489	15.0
1452.2946	7.1212
1133.4878	9.9242
1134.6086	3.1061
1093.4228	6.0606
1072.4759	4.1667
1049.5572	7.0455
1025.6307	13.0303
595.6229	68.7879
795.3208	48.7121
739.9104	38.9394
796.0772	23.8636
831.0825	13.9394
857.6542	11.0606
762.6147	13.1061
793.7917	8.9394
783.7391	9.1667
749.0383	9.0909
765.5067	8.1061
743.6787	5.1515
750.9294	6.9697
832.171	8.1818
896.1326	7.0455
856.8885	6.2121
896.2802	2.197
857.8871	3.4091
848.8239	1.1364
811.321	3.1061
797.5324	6.0606
742.8001	4.0152
735.5242	3.0303
767.4231	5.1515
767.543	1.2121
569.374	31.0606
571.3805	25.1515
567.8774	20.2273
608.067	20.0
610.0733	14.0909
551.6282	14.0152
548.162	7.8788
547.4217	2.197
566.5421	4.0909
610.2601	7.9545
658.6873	7.1212
650.4958	6.2121
656.9207	5.1515
685.229	5.2273
691.6517	4.2424
677.9853	3.1818
652.4123	3.2576
628.6633	3.4091
657.0384	1.2879
1639.4816	8.0303
