site	location	source	formation	age	sample	TOC	depth	steranes	TA	S/H	24-ipc	24-npc	cryo
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	11J005i	0.31	242.2	100_0_0	NA	0.0055	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	13J0901i	<0.50	468.56	100_0_0	NA	0.0009	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	12J019i2	NA	471.5	100_0_0	NA	0.0029	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	13J0902i 	<0.50	476.2	100_0_0	100_0_0	0.0096	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	B03027i	8	477.5	0_0_0	100_0_0	0	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	13J0903i	NA	480.45	100_0_0	100_0_0	0.012	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Aralka Formation	659	B06029i	0.09	481.85	0_0_0	100_0_0	0	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Watiara Formation, Finke Beds	750	11J021i	<0.5	573.06	100_0_0	73_27_0	0.0034	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Watiara Formation, Finke Beds	750	13J717i	NA	585.2	100_0_0	NA	0.003	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	11J038i	<0.5	762.18	0_0_0	100_0_0	0	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	13J718i	NA	808.2	100_0_0	NA	0.0065	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	MG006i	<0.5	813.6	100_0_0	100_0_0	0.0039	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	11J024i	NA	816.26	100_0_0	100_0_0	0.0051	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	MG007i	NA	924.62	0_0_0	0_0_0	0	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	11J050i	NA	942.74	0_0_0	0_0_0	0	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	13J036i	NA	956.25	0_0_0	0_0_0	0	0	0	0
Amadeus Basin	Northern Territory, Australia	Drillcore BRO5	Johnnys Creek Formation, Bitter Springs Group	820	13J107i	NA	961.91	100_0_0	NA	0.0083	0	0	0
