Period	Age	appx_Ma	Formation	Basin	No	C27	C27_sd	C28	C28_sd	C29	C29_sd	S_H	S_H_sd	ipc_npc	ipc_npc_sd	Lithology	Reference
Cambrian	Cambrian-Ordovician	485	Alum shales	Gotland Island basin, Sweden	NA	31	0	24	0	45	0	0.78	0	NA	NA	NA	3
Cambrian	Early Cambrian	540	Huqf Supergroup	South Oman basin, Oman	NA	17	0	16	0	67	0	0.76	0	NA	NA	NA	3
Cambrian	Early Cambrian	536	Ouldburra Fm	Officer Basin, Australia	1	NA	NA	NA	NA	NA	NA	NA	NA	1.6	0	Bitumen from carbonate, sulfate evaporite	2
Cambrian	Cambrian	510	NA	East Siberia, Russia	1	NA	NA	NA	NA	NA	NA	NA	NA	1.2	0	Oil from carbonate	20,2,3
Cambrian	Early Cambrian	525	unknown	South Oman basin, Oman	6	63	14	8	3.4	29	11	NA	NA	0.65	0.053	siliciclastic rock or marl deposited under anoxic and hypersaline conditions	20
Cambrian	NA	536	A6C	Ara Group, South Oman Salt Basin, Oman	1	19	0	14	0	67	0.59	NA	NA	0.59	0	Bitumen from halite, dolostones, standstones	20
Cambrian	NA	538	A5C	Ara Group, South Oman Salt Basin, Oman	3	18	1.1	13	0.14	68	1	NA	NA	0.64	0.011	Oil from halite, dolostones, standstones	20
Cambrian	541 Ma	541	A4 Fm (U shale, Athel Silicyte, Thuleilat shale)	Ara Group, South Oman Salt Basin, Oman	17	16	1.4	13	0.38	71	1.7	0.96	0.21	0.57	0.016	Post-salt Huqf oil (and for S/H from bitumen) from halite, dolostones, standstones	20,2,3
Cambrian	541 Ma	541	A4 Fm (U shale, Athel Silicyte, Thuleilat shale)	Ara Group, South Oman Salt Basin, Oman	5	16	1.4	13	0.38	71	1.7	0.96	0.21	0.57	0.016	Post-salt Huqf oil (and for S/H from bitumen) from halite, dolostones, standstones	20,2,3
Cambrian	NA	541	A4 Thuleilat shale	Ara Group, South Oman Salt Basin, Oman	4	NA	NA	NA	NA	NA	NA	0.92	0.22	1.4	0.083	Organic-rich shales in a deep marine basin depositional setting	22
Cambrian	NA	541	A4 Silicilyte	Ara Group, South Oman Salt Basin, Oman	6	NA	NA	NA	NA	NA	NA	1.1	0.24	1.9	0.41	Bitumen bound biomarkers from silicilyte in a deep marine basin depositional setting	22
Cambrian	541 Ma	541	A4 U shale	Ara Group, South Oman Salt Basin, Oman	6	NA	NA	NA	NA	NA	NA	0.9	0.095	1.1	0.35	Bitumen bound biomarkers from organic-rich shales in a deep marine basin depositional setting	22
Cambrian	Lower Cambrian	540	Bilir	Nepa-Botuoba basin, Russia	1	13	0	12	0	75	0	1	0	NA	NA	Oil from salt and dolomite - shallow marine to restricted depositional setting	23
Cambrian	Lower Cambrian	540	Usol ye	Nepa-Botuoba basin, Russia	4	16	2.4	14	1.2	70	3.6	2	1.5	NA	NA	Oil from salt and dolomite - shallow marine to restricted depositional setting	23
Ediacaran	Late Vendian-Early Cambrian	545	Botuobin area	Lena-Tunguska region, Russia	1	15	0	17	0	67	0	0.92	0	NA	NA	oil sourced from a carbonate	24
Ediacaran	Vendian-Cambrian	545	Siva, North Volga	Urals, Russia	1	NA	NA	NA	NA	NA	NA	NA	NA	1.4	0	Oil from unknown lithology	2
Ediacaran	Vendian-Cambrian	545	NA	India	1	NA	NA	NA	NA	NA	NA	NA	NA	2.1	0	Oil from carbonate	2
Ediacaran	Vendian-Cambrian	545	NA	Oman	1	NA	NA	NA	NA	NA	NA	NA	NA	1	0	Oil from carbonate	2
Ediacaran	Vendian	555	Srednebotuobinskoye	Lena river, Siberia	1	NA	NA	NA	NA	NA	NA	NA	NA	1.6	0	Oil from carbonate	2
Ediacaran	Vendian	555	Sinsk Fm	North Yakutia, Siberia	1	NA	NA	NA	NA	NA	NA	NA	NA	1.8	0	Bitumen from carbonate	2
Ediacaran	Vendian	555	Katyspyt Fm	East Siberia, Russia	1	NA	NA	NA	NA	NA	NA	NA	NA	1.1	0	Bitumen from carbonate	2
Ediacaran	620 Ma	620	Rodda beds	Officer basin, Australia	1	NA	NA	NA	NA	NA	NA	NA	NA	0.22	0	Bitumen from calcareous shale, deep water deposition	2
Ediacaran	543±0.3 Ma	543	Khatyspyt Formation	Siberian Platform, Russia	1	20	0	17	0	64	0	0.37	0	NA	NA	Bitumen from interbedded limestones and shale deposited in a "distal, low-energy carbonate ramp environment"	25
Ediacaran	543-542 Ma	543	A3C	Ara Group, South Oman Salt Basin, Oman	5	18	1.2	13	0.48	69	1.3	NA	NA	0.62	0.011	Oil from halite, dolostones, sandstones	20
Ediacaran	NA	544	A2C	Ara Group, South Oman Salt Basin, Oman	7	19	2.8	14	0.43	67	3.2	NA	NA	0.63	0.05	Oil from halite, dolostones, sandstones	20
Ediacaran	NA	546	A1C	Ara Group, South Oman Salt Basin, Oman	1	13	0	12	0	74	0	NA	NA	0.63	0	Oil from halite, dolostones, sandstones	20
Ediacaran	~550 Ma	550	Buah Fm 	Nafun Group, South Oman Salt Basin, Oman	3	NA	NA	NA	NA	NA	NA	0.78	0.043	NA	NA	Bitumen from dolostones in open, shallow marine conditions	21
Ediacaran	<580 Ma at base	560	Shuram Fm	Nafun Group, South Oman Salt Basin, Oman	5	NA	NA	NA	NA	NA	NA	0.71	0.064	NA	NA	Bitumen from shales, limestone, dolostone and sandstone in open, shallow marine conditions	21
Ediacaran	~635 Ma at base	635	Masirah Bay Fm	Nafun Group, South Oman Salt Basin, Oman	4	NA	NA	NA	NA	NA	NA	0.66	0.044	NA	NA	Bitumen from shales, limestone and sandstones in open, shallow marine conditions	21
Ediacaran	~550 Ma	550	Buah Fm	Nafun Group, South Oman Salt Basin, Oman	4	NA	NA	NA	NA	NA	NA	0.85	0.13	0.72	0.11	Bitumen from dolostones in open, shallow marine conditions	22
Ediacaran	<580 Ma at base	560	Shuram Fm	Nafun Group, South Oman Salt Basin, Oman	8	NA	NA	NA	NA	NA	NA	0.79	0.18	1.2	0.3	Bitumen from shales, limestone, dolostone and sandstone in open, shallow marine conditions	22
Ediacaran	<610 Ma at top	600	Khufai Fm	Nafun Group, South Oman Salt Basin, Oman	2	NA	NA	NA	NA	NA	NA	0.67	0.18	1.4	0.08	Bitumen from dolostone and limestones in in open, shallow marine conditions	22
Ediacaran	~635 Ma at base	635	Masirah Bay Fm	Nafun Group, South Oman Salt Basin, Oman	5	NA	NA	NA	NA	NA	NA	0.7	0.091	4.9	5.7	Bitumen from shales, limestone, dolostone and sandstone in open, shallow marine conditions	22
Ediacaran	Vendian-Cambrian	545	Tetere	Nepa-Botuoba basin, Russia	3	15	0.99	14	0.51	71	1.5	1.8	0	0.65	0	Oil from dolomite - Shallow marine to restricted depositional setting	23
Ediacaran	Vendian	575	Katanga	Nepa-Botuoba basin, Russia	1	13	0	12	0	74	0	1.1	0	NA	NA	Oil from dolomite, clayey dolomite and dolomitic marl - shallow marine to restricted depositional setting	23
