Formation/Sample name	Age (Ma)	rock type	d53Cr	2 SE	Cr/Al	Cr/Ti	ref
Linok	970	carbonate	-0.23	0.04	4.8		Gilleaudeau 2016
Sukh. Tung.	970	carbonate	-0.22	0.03	6.5		Gilleaudeau 2016
Sukh. Tung.	970	carbonate	-0.11	0.03	5.1		Gilleaudeau 2016
Sukh. Tung.	970	carbonate	0.08	0.06	7.9		Gilleaudeau 2016
Sukh. Tung.	970	carbonate	0.37	0.05	29.2		Gilleaudeau 2016
Burovaya	970	carbonate	-0.23	0.05	5.1		Gilleaudeau 2016
Miroyedikha	970	carbonate	-0.09	0.02	4.9		Gilleaudeau 2016
Miroyedikha	970	carbonate	0.69	0.05	7		Gilleaudeau 2016
Miroyedikha	970	carbonate	0	0.03	4.8		Gilleaudeau 2016
Miroyedikha	970	carbonate	0.5	0.04	7.7		Gilleaudeau 2016
Miroyedikha	970	carbonate	0.93	0.03	7.3		Gilleaudeau 2016
Miroyedikha	970	carbonate	0.6	0.04	6.6		Gilleaudeau 2016
Turukhansk	970	carbonate	1.28	0.02	5.7		Gilleaudeau 2016
Turukhansk	970	carbonate	0.6	0.05	5.9		Gilleaudeau 2016
Turukhansk	970	carbonate	0.7	0.03	7.7		Gilleaudeau 2016
Turukhansk	970	carbonate	1.43	0.05	18.7		Gilleaudeau 2016
Turukhansk	970	carbonate	0.58	0.03	9.1		Gilleaudeau 2016
Turukhansk	970	carbonate	0.78	0.05	7.5		Gilleaudeau 2016
Turukhansk	970	carbonate	-0.04	0.04	6.2		Gilleaudeau 2016
Miroyedikha	970	carbonate	0.4	0.02	6.9		Gilleaudeau 2016
Miroyedikha	970	carbonate	0.07	0.07	4.3		Gilleaudeau 2016
Ser. do P. Ver.	1112	carbonate	0.55	0.08	3.5		Gilleaudeau 2016
Mor. do Calc.	1112	carbonate	1.27	0.09	29.9		Gilleaudeau 2016
Mor. do Calc.	1112	carbonate	0.7	0.09	3.3		Gilleaudeau 2016
Mor. do Calc.	1112	carbonate	0.18	0.08	2.3		Gilleaudeau 2016
Mor. do Calc.	1112	carbonate	0.49	0.07	8		Gilleaudeau 2016
Lapa	1112	carbonate	0.31	0.08	16.4		Gilleaudeau 2016
Lapa	1112	carbonate	0.27	0.08	7.2		Gilleaudeau 2016
Lapa	1112	carbonate	0.22	0.07	13		Gilleaudeau 2016
Lapa	1112	carbonate	0.68	0.05	3.2		Gilleaudeau 2016
Lapa	1112	carbonate	-0.07	0.06	1.9		Gilleaudeau 2016
Lapa	1112	carbonate	-0.05	0.06	2.3		Gilleaudeau 2016
Lapa	1112	carbonate	-0.11	0.07	0.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.15	0.04	1.4		Gilleaudeau 2016
Lapa	1112	carbonate	-0.19	0.08	6.7		Gilleaudeau 2016
Lapa	1112	carbonate	-0.17	0.05	5.6		Gilleaudeau 2016
Lapa	1112	carbonate	-0.14	0.05	8.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.23	0.07	7.3		Gilleaudeau 2016
Lapa	1112	carbonate	-0.15	0.08	1.6		Gilleaudeau 2016
Lapa	1112	carbonate	-0.11	0.08	1.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.16	0.06	3.1		Gilleaudeau 2016
Lapa	1112	carbonate	-0.15	0.06	4.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.08	0.06	0.7		Gilleaudeau 2016
Lapa	1112	carbonate	-0.19	0.06	4		Gilleaudeau 2016
Lapa	1112	carbonate	-0.12	0.06	0.6		Gilleaudeau 2016
Lapa	1112	carbonate	-0.13	0.05	7.2		Gilleaudeau 2016
Lapa	1112	carbonate	-0.21	0.06	2.2		Gilleaudeau 2016
Lapa	1112	carbonate	-0.09	0.06	3.7		Gilleaudeau 2016
Lapa	1112	carbonate	0.05	0.07	3.9		Gilleaudeau 2016
Lapa	1112	carbonate	-0.12	0.06	4.3		Gilleaudeau 2016
Lapa	1112	carbonate	-0.13	0.08	2		Gilleaudeau 2016
Mor. do Calc.	1112	carbonate	0.6	0.08	6		Gilleaudeau 2016
Lapa	1112	carbonate	-0.1	0.07	0.7		Gilleaudeau 2016
Lapa	1112	carbonate	-0.11	0.07	1.4		Gilleaudeau 2016
Lapa	1112	carbonate	-0.06	0.09	1.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.21	0.07	1.4		Gilleaudeau 2016
Lapa	1112	carbonate	-0.13	0.08	0.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.04	0.06	5.6		Gilleaudeau 2016
Lapa	1112	carbonate	-0.18	0.05	0.8		Gilleaudeau 2016
Lapa	1112	carbonate	-0.12	0.08	3.3		Gilleaudeau 2016
Lapa	1112	carbonate	-0.15	0.07	1.4		Gilleaudeau 2016
Lapa	1112	carbonate	-0.04	0.06	1.5		Gilleaudeau 2016
Lapa	1112	carbonate	-0.09	0.08	2.4		Gilleaudeau 2016
Lapa	1112	carbonate	-0.12	0.07	3.6		Gilleaudeau 2016
Touirist	1107	carbonate	0.39	0.01	6.8		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	0.04	0.09	1.3		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	-0.13	0.06	3.1		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	-0.02	0.04	1.3		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	0.03	0.06	1.6		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	-0.16	0	1.2		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	-0.05	0.03	1.4		Gilleaudeau 2016
Ag. el Mabha	1107	carbonate	-0.1	0.05	1.5		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.1	0.05	2.7		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.24	0.03	2		Gilleaudeau 2016
Gouamir	1107	carbonate	0.03	0.02	3.1		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.12	0.02	1.9		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.29	0.04	3.5		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.2	0.04	2.5		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.11	0.04	2.4		Gilleaudeau 2016
Gouamir	1107	carbonate	-0.09	0.04	3.2		Gilleaudeau 2016
En Nesoar	1107	carbonate	0.28	0.04	11.1		Gilleaudeau 2016
En Nesoar	1107	carbonate	0.68	0.03	27.6		Gilleaudeau 2016
Angmaat	1092	carbonate	0.15	0.02	7.3		Gilleaudeau 2016
Angmaat	1092	carbonate	0.07	0.05	7.7		Gilleaudeau 2016
Angmaat	1092	carbonate	0.09	0.09	3.9		Gilleaudeau 2016
Angmaat	1092	carbonate	0.16	0.02	4.5		Gilleaudeau 2016
Angmaat	1092	carbonate	0.07	0.03	4		Gilleaudeau 2016
Angmaat	1092	carbonate	0.04	-	12.4		Gilleaudeau 2016
Angmaat	1092	carbonate	0.41	0.03	11.9		Gilleaudeau 2016
Angmaat	1092	carbonate	0.5	0.03	10.7		Gilleaudeau 2016
Angmaat	1092	carbonate	1.77	0.03	15.9		Gilleaudeau 2016
Angmaat	1092	carbonate	0.12	0.03	8.8		Gilleaudeau 2016
Angmaat	1092	carbonate	-0.13	0.03	4.1		Gilleaudeau 2016
Angmaat	1092	carbonate	-0.16	-	6.8		Gilleaudeau 2016
Angmaat	1092	carbonate	0.04	0.03	6.4		Gilleaudeau 2016
Angmaat	1092	carbonate	0.19	0.06	4.9		Gilleaudeau 2016
Angmaat	1092	carbonate	0.73	0.12	4.7		Gilleaudeau 2016
Angmaat	1092	carbonate	-0.04	0.02	14.8		Gilleaudeau 2016
Angmaat	1092	carbonate	0.83	0.01	-		Gilleaudeau 2016
Angmaat	1092	carbonate	0.44	0.02	6.9		Gilleaudeau 2016
Angmaat	1092	carbonate	-0.04	0.06	5.5		Gilleaudeau 2016
Doldgeville Fm	450	shale	0.28	0.05		0.028	Cole 2016
Doldgeville Fm	450	shale	0.34	0.04		0.03	Cole 2016
Doldgeville Fm	450	shale	0.58	0.05		0.02	Cole 2016
Doldgeville Fm	450	shale	0.49	0.05		0.022	Cole 2016
Tal  Group	550	shale	0.23	0.04		0.031	Cole 2016
Tal  Group	550	shale	0.46	0.05		0.048	Cole 2016
Tal  Group	550	shale	0.55	0.05		0.047	Cole 2016
Tal  Group	550	shale	0.59	0.04		0.047	Cole 2016
Tal  Group	550	shale	0.16	0.03		0.066	Cole 2016
Tal  Group	550	shale	0.53	0.04		0.067	Cole 2016
Tal  Group	550	shale	0.17	0.05		0.033	Cole 2016
Doushantou	630	shale	-0.13	0.04		0.014	Cole 2016
Doushantou	630	shale	-0.11	0.03		0.015	Cole 2016
Doushantou	630	shale	-0.16	0.03		0.014	Cole 2016
Doushantou	630	shale	-0.04	0.03		0.015	Cole 2016
Doushantou	630	shale	-0.05	0.03		0.014	Cole 2016
Doushantou	630	shale	-0.1	0.03		0.013	Cole 2016
Tongari Group	640	shale	-0.16	0.03		0.02	Cole 2016
Tongari Group	640	shale	0.1	0.03		0.018	Cole 2016
Tongari Group	640	shale	0.14	0.03		0.016	Cole 2016
Tongari Group	640	shale	0.16	0.04		0.016	Cole 2016
Tongari Group	640	shale	0.12	0.03		0.012	Cole 2016
Tongari Group	800	shale	0.09	0.03		0.089	Cole 2016
Tongari Group	800	shale	0.23	0.04		0.107	Cole 2016
Tongari Group	800	shale	0.24	0.05		0.113	Cole 2016
Chuar	740	shale	0.7	0.05		0.033	Cole 2016
Chuar	740	shale	0.73	0.05		0.034	Cole 2016
Chuar	740	shale	0.68	0.05		0.033	Cole 2016
Chuar	740	shale	0.7	0.05		0.039	Cole 2016
Chuar	740	shale	0.58	0.04		0.021	Cole 2016
Chuar	740	shale	0.62	0.03		0.02	Cole 2016
Chuar	740	shale	0.73	0.03		0.027	Cole 2016
Chuar	740	shale	0.6	0.03		0.024	Cole 2016
Chuar	740	shale	0.52	0.03		0.021	Cole 2016
Chuar	740	shale	0.15	0.03		0.017	Cole 2016
Simla	840	shale	-0.04	0.04		0.033	Cole 2016
Simla	840	shale	0.04	0.04		0.028	Cole 2016
Simla	840	shale	0.08	0.04		0.036	Cole 2016
Simla	840	shale	0.1	0.05		0.05	Cole 2016
Simla	840	shale	0.16	0.05		0.022	Cole 2016
Simla	840	shale	0.09	0.05		0.046	Cole 2016
Simla	840	shale	-0.09	0.03		0.024	Cole 2016
Simla	840	shale	-0.08	0.03		0.018	Cole 2016
Arctic Bay	1100	shale	-0.07	0.02		0.021	Cole 2016
Arctic Bay	1100	shale	-0.12	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	-0.14	0.02		0.018	Cole 2016
Arctic Bay	1100	shale	0.08	0.02		0.019	Cole 2016
Arctic Bay	1100	shale	0.01	0.02		0.019	Cole 2016
Arctic Bay	1100	shale	0.06	0.02		0.019	Cole 2016
Arctic Bay	1100	shale	0.07	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	0.01	0.02		0.021	Cole 2016
Arctic Bay	1100	shale	-0.07	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	-0.1	0.02		0.024	Cole 2016
Arctic Bay	1100	shale	-0.1	0.02		0.024	Cole 2016
Arctic Bay	1100	shale	-0.13	0.02		0.02	Cole 2016
Arctic Bay	1100	shale	-0.13	0.02		0.02	Cole 2016
Arctic Bay	1100	shale	-0.12	0.02		0.017	Cole 2016
Arctic Bay	1100	shale	-0.05	0.02		0.019	Cole 2016
Arctic Bay	1100	shale	-0.09	0.02		0.019	Cole 2016
Arctic Bay	1100	shale	-0.04	0.01		0.021	Cole 2016
Arctic Bay	1100	shale	-0.03	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	0.09	0.02		0.02	Cole 2016
Arctic Bay	1100	shale	-0.11	0.02		0.023	Cole 2016
Arctic Bay	1100	shale	-0.03	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	-0.09	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	-0.1	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	-0.13	0.01		0.018	Cole 2016
Arctic Bay	1100	shale	0.03	0.02		0.022	Cole 2016
Arctic Bay	1100	shale	-0.09	0.02		0.021	Cole 2016
Arctic Bay	1100	shale	-0.16	0.02		0.02	Cole 2016
Xiamaling	1380	shale	-0.05	0.03		0.014	Cole 2016
Xiamaling	1380	shale	-0.03	0.02		0.014	Cole 2016
Xiamaling	1380	shale	-0.09	0.02		0.017	Cole 2016
Xiamaling	1380	shale	-0.04	0.02		0.016	Cole 2016
Xiamaling	1380	shale	0.17	0.02		0.015	Cole 2016
Xiamaling	1380	shale	-0.19	0.03		0.014	Cole 2016
Velkerri	1400	shale	-0.14	0.02		0.017	Cole 2016
Velkerri	1400	shale	-0.01	0.02		0.017	Cole 2016
Velkerri	1400	shale	0.05	0.02		0.018	Cole 2016
Velkerri	1400	shale	-0.13	0.02		0.012	Cole 2016
Velkerri	1400	shale	-0.09	0.02		0.013	Cole 2016
Velkerri	1400	shale	-0.14	0.03		0.012	Cole 2016
Velkerri	1400	shale	-0.14	0.02		0.013	Cole 2016
Velkerri	1400	shale	-0.13	0.02		0.013	Cole 2016
Barney Creek	1650	shale	-0.17	0.02		0.014	Cole 2016
Barney Creek	1650	shale	-0.34	0.02		0.016	Cole 2016
Barney Creek	1650	shale	-0.11	0.03		0.016	Cole 2016
Barney Creek	1650	shale	-0.14	0.02		0.024	Cole 2016
Barney Creek	1650	shale	-0.13	0.02		0.017	Cole 2016
Barney Creek	1650	shale	-0.09	0.02		0.015	Cole 2016
Barney Creek	1650	shale	-0.14	0.02		0.012	Cole 2016
Barney Creek	1650	shale	-0.14	0.02		0.013	Cole 2016
Barney Creek	1650	shale	-0.11	0.02		0.017	Cole 2016
Barney Creek	1650	shale	-0.14	0.02		0.028	Cole 2016
