Species	Status	min_age	max_age
Rankenella_mors	extinct	513	516
Archaeoscyphia	extinct	470	485.4
Archaeoscyphia	extinct	470	485.4
Calycocoelia	extinct	458.4	467.3
Nevadocoelia	extinct	458.4	467.3
Calycocoelia_typicalis	extinct	468.1	471.8
Calycocoelia	extinct	457.5	471.8
Allosaccus	extinct	460.9	468.1
Allosaccus	extinct	458.4	470
Lithistida	extinct	449.5	460.9
Haplistion	extinct	342.8	345.3
Calycocoelia	extinct	458.4	470
Archaeoscyphia	extinct	468.1	485.4
Lithistida	extinct	427.4	433.4
Doryderma	extinct	113	125
Mastosia	extinct	113	125
Doryderma	extinct	113	125
Doryderma	extinct	100.5	113
Siphonocoelia	extinct	132.9	139.8
Siphonocoelia	extinct	132.9	139.8
Siphonocoelia	extinct	132.9	139.8
Siphonocoelia	extinct	132.9	139.8
Siphonocoelia	extinct	132.9	139.8
Haplistion_armstrongi	extinct	345	345.3
Siphonocoelia	extinct	132.9	139.8
Siphonocoelia	extinct	129.4	132.9
Siphonocoelia	extinct	129.4	132.9
Haplistion_armstrongi	extinct	345	345.3
Haplistion_armstrongi	extinct	345	345.3
Haplistion_armstrongi	extinct	345	345.3
Warrigalia_elliptica	extinct	449.5	456.1
Aulocopium_aurantium	extinct	449.5	456.1
Perissocoelia_habra	extinct	449.5	456.1
Hudsonospongia_cyclostoma	extinct	449.5	456.1
Malongullospongia_delicatula	extinct	449.5	456.1
Gleesonia_porosa	extinct	449.5	456.1
Astylostroma_micra	extinct	449.5	456.1
Haplistion_armstrongi	extinct	336	345
Lithistida	extinct	433.4	440.8
Perissocoelia_habra	extinct	443.7	456.1
Hudsonospongia_cyclostoma	extinct	443.7	456.1
Patellispongia_australis	extinct	443.7	456.1
Astylostroma_micra	extinct	443.7	456.1
Haplistion	extinct	410.8	419.2
Doryderma_(Brochodora)_roemeri	extinct	83.6	86.3
Doryderma_(Brochodora)_roemeri	extinct	72.1	83.6
Zittelella_varians	extinct	449.5	460.9
Zittelella_varians	extinct	449.5	460.9
Saccospongia	extinct	449.5	460.9
Saccospongia	extinct	449.5	460.9
Saccospongia	extinct	449.5	460.9
Saccospongia	extinct	449.5	460.9
Saccospongia	extinct	449.5	460.9
Haplistion_armstrongi	extinct	342.8	345.3
Polystoma	extinct	157.3	163.5
Polystoma	extinct	155.7	161.2
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	477.7	485.4
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	460.9	466
Vauxia_magna	extinct	505	513
Lithistida	extinct	382.7	387.7
Lithistida	extinct	382.7	387.7
Lithistida	extinct	382.7	387.7
Lithistida	extinct	382.7	387.7
Lithistida	extinct	382.7	387.7
Archaeoscyphia	extinct	477.7	485.4
Calycocoelia	extinct	477.7	485.4
Hudsonospongia	extinct	477.7	485.4
Archaeoscyphia	extinct	466	478.6
Allosaccus	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Eospongia	extinct	466	478.6
Hudsonospongia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Protachilleum	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Aulocopium	extinct	466	478.6
Calycocoelia	extinct	466	478.6
Allosaccus	extinct	463.5	466
Archaeoscyphia	extinct	463.5	466
Aulocopium	extinct	463.5	466
Calycocoelia	extinct	463.5	466
Hudsonospongia	extinct	463.5	466
Incrassospongia	extinct	463.5	466
Patellispongia	extinct	463.5	466
Psarodictyum	extinct	463.5	466
Rhopalocoelia	extinct	463.5	466
Allosaccus	extinct	463.5	466
Anthaspidella	extinct	463.5	466
Archaeoscyphia	extinct	463.5	466
Aulocopium	extinct	463.5	466
Calycocoelia	extinct	463.5	466
Hudsonospongia	extinct	463.5	466
Incrassospongia	extinct	463.5	466
Lissocoelia	extinct	463.5	466
Patellispongia	extinct	463.5	466
Protachilleum	extinct	463.5	466
Psarodictyum	extinct	463.5	466
Rhopalocoelia	extinct	463.5	466
Rugospongia	extinct	463.5	466
Talacastonia	extinct	463.5	466
Hudsonospongia	extinct	443.4	458.4
Haplistion	extinct	268	290.1
Rankenella_hamdii	extinct	485.4	505
Lithistida	extinct	237	242
Coscinodiscus	extinct	1.806	2.588
Coscinodiscus	extinct	1.806	2.588
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Archaeoscyphia	extinct	466	478.6
Cnemidiastrum	extinct	145	150.8
Cylindrophyma_milleporata	extinct	145	150.8
Lithistida	extinct	183	196.5
Haplistion	extinct	326.4	336
Haplistion	extinct	326.4	336
Leiocarenus	extinct	150.8	155.7
Cnemidiastrum	extinct	150.8	155.7
Platychonia	extinct	150.8	155.7
Chonellopsis	extinct	150.8	155.7
Lithistida	extinct	150.8	155.7
Cnemopeltia_rimulosum	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemidiastrum	extinct	155.7	161.2
Cnemidiastrum	extinct	155.7	161.2
Platychonia	extinct	155.7	161.2
Chonellopsis	extinct	155.7	161.2
Melonella	extinct	155.7	161.2
Devonospongia	extinct	407.6	410.8
Brianispongia	extinct	407.6	410.8
Isispongia	extinct	407.6	410.8
Astylospongia	extinct	407.6	410.8
Attungaia	extinct	407.6	410.8
Garraspongia	extinct	407.6	410.8
Varneycoelia	extinct	407.6	410.8
Haplistion	extinct	407.6	410.8
Columellaespongia	extinct	407.6	410.8
Astylospongia_praemorsa	extinct	427.4	433.4
Astylospongia	extinct	423	427.4
Astylospongia	extinct	427.4	433.4
Astylospongia_praemorsa	extinct	427.4	433.4
Astylospongia_praemorsa	extinct	427.4	433.4
Astylospongia_praemorsa	extinct	427.4	433.4
Astylospongia_praemorsa	extinct	427.4	433.4
Haplistion	extinct	336	339.4
Archaeoscyphia	extinct	468.1	478.6
Stromatomorpha_californica	extinct	215.56	221.5
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia_roemeri	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
Eospongia	extinct	449.5	460.9
