time	diversity	m_div	M_div
0.0666187623634	0.01	0	1
0.166637351202	1.0	1	1
0.26665594004	0.97	0	1
0.366674528879	0.05	0	1
0.466693117717	0.01	0	1
0.566711706556	0.0	0	0
0.666730295394	0.0	0	0
0.766748884233	0.0	0	0
0.866767473071	0.0	0	0
0.96678606191	0.0	0	0
1.06680465075	0.0	0	0
1.16682323959	0.0	0	0
1.26684182843	0.0	0	0
1.36686041726	0.0	0	0
1.4668790061	0.0	0	0
1.56689759494	0.02	0	1
1.66691618378	0.24	0	1
1.76693477262	0.97	0	1
1.86695336146	1.0	1	1
1.96697195029	1.0	1	1
2.06699053913	1.0	1	1
2.16700912797	1.0	1	1
2.26702771681	1.0	1	1
2.36704630565	1.0	1	1
2.46706489449	1.0	1	1
2.56708348333	1.0	1	1
2.66710207216	1.0	1	1
2.767120661	1.0	1	1
2.86713924984	1.0	1	1
2.96715783868	1.0	1	1
3.06717642752	1.0	1	1
3.16719501636	1.0	1	1
3.2672136052	1.0	1	1
3.36723219403	1.0	1	1
3.46725078287	1.0	1	1
3.56726937171	1.0	1	1
3.66728796055	1.0	1	1
3.76730654939	1.0	1	1
3.86732513823	1.0	1	1
3.96734372707	1.0	1	1
4.0673623159	1.0	1	1
4.16738090474	1.0	1	1
4.26739949358	1.0	1	1
4.36741808242	1.0	1	1
4.46743667126	1.0	1	1
4.5674552601	1.0	1	1
4.66747384893	1.0	1	1
4.76749243777	1.01	1	2
4.86751102661	1.04	1	4
4.96752961545	1.07	1	5
5.06754820429	1.09	1	6
5.16756679313	1.13	1	9
5.26758538197	1.15	1	9
5.3676039708	1.16	1	9
5.46762255964	1.2	1	9
5.56764114848	1.24	1	10
5.66765973732	1.32	1	11
5.76767832616	1.35	1	12
5.867696915	1.44	1	12
5.96771550384	1.5	1	14
6.06773409267	1.57	1	14
6.16775268151	1.72	1	14
6.26777127035	1.96	1	14
6.36778985919	2.33	1	14
6.46780844803	2.9	1	15
6.56782703687	3.35	1	16
6.6678456257	4.03	2	16
6.76786421454	4.97	2	16
6.86788280338	6.25	3	16
6.96790139222	7.48	3	16
7.06791998106	8.43	5	16
7.1679385699	9.14	6	16
7.26795715874	9.81	6	16
7.36797574757	10.48	6	16
7.46799433641	11.0	6	17
7.56801292525	11.59	6	17
7.66803151409	12.24	6	17
7.76805010293	12.9	7	19
7.86806869177	13.58	7	19
7.96808728061	14.08	7	20
8.06810586944	14.44	8	20
8.16812445828	14.88	8	20
8.26814304712	15.34	9	20
8.36816163596	15.6	9	20
8.4681802248	15.87	10	20
8.56819881364	16.19	12	21
8.66821740247	16.52	13	21
8.76823599131	16.75	13	21
8.86825458015	16.99	13	21
8.96827316899	17.2	14	22
9.06829175783	17.33	14	22
9.16831034667	17.42	15	22
